,Location,Blacks,Asians,NativeHawaiian_PacificIslanders,Whites,Hispanic_Latinos,AmericanIndian_AlaskanNatives,Two_or_Mores,Others
71,"Manhattan Beach, California",0.52,11.6,0.0,72.09,8.09,0.19,5.48,2.03
72,"Mammoth Lakes, California",0.68,3.21,0.0,51.99,33.57,0.23,2.98,7.34
73,"Malibu, California",1.08,1.86,0.26,84.13,8.61,0.0,3.79,0.26
74,"Madera, California",3.37,1.23,0.0,12.29,60.2,0.76,2.44,19.71
75,"Lynwood, California",6.31,0.63,0.29,1.76,65.08,0.58,1.15,24.2
76,"Los Gatos, California",1.47,14.21,0.1,70.67,8.24,0.1,4.57,0.65
77,"Los Banos, California",1.32,2.36,0.53,16.14,54.44,0.43,3.52,21.25
78,"Los Angeles, California",7.14,9.35,0.15,22.85,38.97,0.59,2.89,18.06
79,"Los Altos Hills, California",0.77,30.94,0.12,60.62,4.21,0.0,2.75,0.6
80,"Los Altos, California",0.36,29.18,0.0,60.0,4.27,0.17,5.14,0.87
81,"Los Alamitos, California",5.44,13.46,0.19,42.59,23.78,0.04,8.77,5.74
82,"Monrovia, California",5.34,12.44,0.52,31.34,36.2,0.42,5.25,8.48
83,"Orange, California",1.6,10.57,0.13,40.23,33.79,0.41,2.98,10.3
84,"Montague, California",0.64,0.32,0.45,79.63,8.71,3.46,4.48,2.31
85,"Montebello, California",1.04,10.48,0.04,5.59,60.81,0.49,1.67,19.88
86,"Ojai, California",0.52,1.86,0.0,76.31,14.39,0.55,4.13,2.23
87,"Oceanside, California",4.36,6.97,0.65,44.54,32.13,0.58,5.15,5.61
88,"Oakley, California",7.14,5.49,0.24,36.46,31.37,1.1,5.94,12.25
89,"Oakland, California",19.85,13.22,0.53,23.71,22.59,0.77,5.75,13.57
90,"Oakdale, California",0.57,2.38,0.03,55.05,31.05,0.4,3.73,6.79
91,"Novato, California",2.44,6.48,0.14,58.84,16.84,0.2,4.67,10.38
92,"Norwalk, California",3.07,10.16,0.28,7.52,50.78,0.35,2.04,25.8
93,"Norco, California",3.8,3.53,0.12,52.43,28.3,0.45,4.23,7.15
94,"Newport Beach, California",0.81,8.01,0.16,77.05,8.72,0.26,3.01,1.99
95,"Newman, California",2.03,1.19,0.0,23.19,65.41,0.67,3.05,4.48
96,"Newark, California",3.85,25.88,0.62,19.61,26.64,0.46,5.15,17.8
97,"Nevada City, California",1.35,0.95,0.0,80.06,6.74,0.06,9.39,1.45
98,"Needles, California",3.48,0.53,0.21,58.43,22.21,10.06,3.52,1.56
