,Location,Blacks,Asians,NativeHawaiian_PacificIslanders,Whites,Hispanic_Latinos,AmericanIndian_AlaskanNatives,Two_or_Mores,Others
316,"Burbank, California",0.83,7.79,0.74,25.69,36.19,0.0,4.23,24.53
317,"Buena Park, California",2.71,28.04,0.8,21.89,34.4,0.66,3.53,7.98
318,"Buellton, California",0.39,0.76,0.0,60.38,30.73,0.11,3.37,4.25
319,"Broadmoor, California",0.91,40.14,0.0,18.34,26.16,0.0,1.3,13.15
320,"Brisbane, California",5.59,25.77,0.0,40.81,17.52,0.0,3.71,6.6
321,"Brentwood, California",7.02,9.63,0.51,47.99,19.6,0.61,7.83,6.81
322,"Brea, California",1.74,19.31,0.17,40.79,28.74,0.77,3.93,4.55
323,"Brawley, California",1.57,0.78,0.45,10.81,71.18,0.5,5.54,9.17
324,"Bradbury, California",0.85,40.21,0.0,41.49,14.36,0.0,1.7,1.38
325,"Blythe, California",9.04,1.68,0.21,19.28,43.8,0.62,4.8,20.56
326,"Bishop, California",0.7,2.8,0.0,62.11,25.86,0.35,6.64,1.55
327,"Biggs, California",0.0,1.66,0.0,34.76,41.35,2.73,12.74,6.77
328,"Beverly Hills, California",1.62,9.33,0.0,76.05,6.09,0.14,4.71,2.06
329,"Berkeley, California",7.62,19.06,0.44,50.81,10.76,0.5,7.09,3.74
330,"Benicia, California",5.59,11.05,0.16,60.67,12.68,0.23,7.13,2.48
331,"Belvedere, California",0.0,3.24,0.0,91.09,3.05,0.0,2.62,0.0
332,"Belmont, California",1.16,27.3,0.4,53.12,10.4,0.19,5.69,1.75
333,"Bell Gardens, California",0.67,0.73,0.02,2.24,79.9,0.26,0.73,15.45
334,"Bellflower, California",9.02,9.11,0.43,11.68,39.71,0.3,2.97,26.78
335,"Bell, California",1.32,0.65,0.16,4.69,78.35,0.51,1.34,12.98
336,"Beaumont, California",6.61,7.24,0.15,33.99,38.2,0.55,4.18,9.09
337,"Banning, California",7.55,4.46,0.02,31.47,40.59,2.05,2.73,11.13
338,"Dorris, California",1.72,0.0,0.0,56.99,29.35,4.3,3.01,4.62
339,"Concord, California",3.2,10.33,0.31,43.42,26.22,0.4,6.15,9.97
340,"Downey, California",2.5,5.71,0.27,11.19,57.26,0.42,2.32,20.33
341,"King City, California",0.45,1.26,0.0,4.59,62.16,0.41,1.76,29.37
342,"Dos Palos, California",1.26,0.64,0.0,15.85,52.64,1.08,6.59,21.94
343,"Kensington, California",1.65,11.78,0.02,69.41,7.45,0.23,8.96,0.48
344,"Jurupa Valley, California",2.28,2.3,0.13,15.41,50.78,0.68,2.81,25.61
345,"Jackson, California",0.43,3.12,0.48,79.66,9.93,0.0,4.41,1.97
346,"Isleton, California",2.18,1.89,1.89,40.78,34.83,1.16,3.92,13.35
347,"Irwindale, California",0.15,0.51,0.0,4.65,66.41,0.26,2.66,25.36
348,"Irvine, California",1.8,40.83,0.2,39.37,9.95,0.16,5.03,2.67
349,"Ione, California",8.33,1.25,0.16,54.51,21.11,1.28,5.45,7.92
350,"Inglewood, California",33.04,1.52,0.28,3.18,39.28,0.87,3.49,18.36
351,"Industry, California",0.71,6.86,0.0,19.86,51.3,0.0,7.57,13.71
352,"Kingsburg, California",0.26,2.69,0.0,46.7,37.86,0.9,5.14,6.45
353,"Indio, California",1.9,1.85,0.01,20.14,46.73,0.47,2.11,26.79
354,"Imperial Beach, California",4.45,6.61,0.03,27.14,46.29,1.54,8.31,5.62
355,"Imperial, California",1.41,2.53,0.0,14.23,64.61,0.57,4.17,12.49
356,"Huron, California",0.18,0.0,0.0,2.36,62.97,2.59,0.59,31.32
357,"Huntington Park, California",0.96,0.42,0.21,1.14,72.49,0.51,0.76,23.5
358,"Huntington Beach, California",1.29,11.09,0.37,56.48,18.27,0.52,4.94,7.05
359,"Hughson, California",0.62,5.32,0.41,55.23,30.47,0.85,1.04,6.06
360,"Holtville, California",0.44,1.46,0.0,12.69,66.53,0.0,5.85,13.03
361,"Hollister, California",0.6,2.04,0.2,23.98,59.25,0.85,4.51,8.56
362,"Hillsborough, California",1.02,30.64,0.0,58.31,4.04,0.15,4.96,0.88
363,"Highland, California",6.92,6.84,0.91,22.47,44.03,1.15,4.16,13.52
364,"Hidden Hills, California",0.0,3.94,0.0,86.49,7.69,0.0,0.67,1.21
365,"Indian Wells, California",1.07,1.7,0.0,88.96,5.21,0.0,1.37,1.68
366,"Lafayette, California",0.94,11.78,0.04,73.02,7.64,0.17,5.45,0.97
367,"Laguna Beach, California",0.79,3.65,0.31,83.59,7.28,0.14,2.73,1.5
368,"Lodi, California",1.5,7.68,0.5,38.92,30.47,0.44,12.68,7.82
369,"Livingston, California",0.51,14.5,0.0,2.33,49.31,0.77,1.91,30.67
370,"Livermore, California",1.67,10.55,0.49,59.26,19.14,0.23,5.56,3.11
371,"Lindsay, California",0.31,1.03,0.0,9.44,73.98,0.28,1.75,13.2
372,"Lincoln, California",1.69,5.88,0.36,63.7,19.16,0.16,3.39,5.65
373,"Lemoore, California",4.69,6.29,0.12,29.8,36.28,1.34,4.61,16.88
374,"Lemon Grove, California",12.77,5.44,0.4,25.82,41.73,0.42,5.56,7.85
375,"Lawndale, California",6.27,7.71,0.56,10.93,46.34,0.24,5.63,22.34
376,"La Verne, California",3.07,8.44,0.12,43.57,32.78,0.62,5.45,5.96
377,"La Quinta, California",1.68,3.33,0.04,51.36,30.21,0.1,2.92,10.36
378,"La Puente, California",0.76,7.23,0.25,2.28,55.73,0.68,1.43,31.64
379,"La Palma, California",5.44,44.92,0.62,24.48,16.75,0.61,4.61,2.56
380,"Lancaster, California",19.85,4.01,0.14,28.35,36.2,0.61,4.24,6.6
381,"La Mirada, California",1.73,16.51,0.06,26.82,34.04,0.46,4.64,15.75
382,"La Mesa, California",6.88,6.28,0.28,51.26,23.88,0.49,6.43,4.5
383,"Lakewood, California",6.31,15.91,0.96,29.52,28.43,0.39,4.88,13.59
384,"Lakeport, California",0.45,4.49,0.04,62.15,18.14,3.5,2.43,8.81
385,"Lake Forest, California",2.03,15.68,0.1,49.36,20.74,1.08,4.5,6.5
386,"Lake Elsinore, California",4.36,3.74,0.04,23.31,40.02,0.33,4.72,23.48
387,"La Habra Heights, California",0.07,16.13,0.0,47.98,23.06,0.15,2.03,10.58
388,"La Habra, California",0.82,9.45,0.0,20.3,46.52,0.5,3.54,18.87
389,"Laguna Woods, California",0.45,19.21,0.0,73.27,5.02,0.05,0.95,1.05
390,"Laguna Niguel, California",1.68,9.47,0.25,61.44,15.87,0.33,5.3,5.66
391,"Laguna Hills, California",1.63,13.71,0.04,53.43,19.15,0.15,6.08,5.81
392,"Hesperia, California",4.63,1.93,0.1,30.29,53.03,1.22,2.79,6.0
393,"Hermosa Beach, California",1.31,6.06,0.0,75.5,9.57,0.75,5.45,1.35
394,"Kerman, California",0.01,4.17,0.03,9.46,68.81,0.4,2.79,14.34
395,"Hemet, California",7.26,3.13,0.29,38.32,39.03,1.32,3.84,6.81
396,"Folsom, California",3.29,16.42,0.34,59.67,11.36,0.46,5.66,2.79
397,"Firebaugh, California",0.0,0.02,0.0,7.72,68.22,0.27,0.0,23.76
398,"Fillmore, California",0.27,1.35,0.09,18.24,69.75,0.62,2.53,7.15
399,"Ferndale, California",0.0,2.43,0.0,87.57,4.79,0.86,2.14,2.21
400,"Farmersville, California",1.51,0.19,0.0,8.28,71.11,0.56,0.26,18.08
401,"Fairfield, California",12.84,15.52,1.26,27.71,26.46,0.47,6.94,8.81
402,"Fairfax, California",0.35,4.56,0.25,80.45,8.49,0.21,5.35,0.34
403,"Exeter, California",1.26,2.43,0.0,41.86,38.61,1.78,1.45,12.61
404,"Eureka, California",1.98,7.22,0.0,64.77,11.81,2.3,6.48,5.44
405,"Etna, California",1.9,0.54,0.0,84.9,4.35,4.35,3.95,0.0
406,"Escondido, California",2.13,6.05,0.25,31.31,45.77,0.87,3.79,9.82
407,"Fontana, California",5.97,4.41,0.16,9.57,48.11,0.47,3.29,28.03
408,"Escalon, California",0.58,1.06,0.0,65.61,23.72,0.55,4.38,4.11
409,"Emeryville, California",12.93,26.66,0.56,39.36,10.01,0.34,5.68,4.47
410,"El Segundo, California",3.58,9.15,0.04,60.51,12.22,0.35,10.08,4.06
411,"Elk Grove, California",10.73,26.47,1.51,32.51,16.82,0.74,7.95,3.28
412,"El Cerrito, California",1.45,3.26,0.56,31.48,44.09,2.79,3.12,13.24
413,"El Cerrito, California",5.17,26.57,0.64,45.93,10.32,0.89,7.6,2.89
414,"El Centro, California",1.36,1.51,0.29,5.93,56.78,0.4,3.46,30.27
415,"El Cajon, California",5.35,3.38,0.4,50.95,25.42,0.46,5.77,8.26
416,"Eastvale, California",7.54,22.23,0.05,17.15,34.5,0.45,6.99,11.09
417,"East Palo Alto, California",8.44,3.41,7.57,5.81,44.38,0.74,2.93,26.72
418,"Hercules, California",14.35,44.25,0.58,17.01,14.16,0.09,6.0,3.55
419,"Dublin, California",3.57,43.28,0.36,33.86,10.09,0.45,6.1,2.29
420,"Duarte, California",5.92,14.45,0.04,20.42,42.43,0.76,6.17,9.81
421,"Encinitas, California",0.76,3.67,0.06,76.5,12.59,0.3,3.27,2.86
422,"Fort Bragg, California",0.89,1.04,0.16,54.08,28.31,1.11,3.98,10.43
423,"Dunsmuir, California",0.48,1.44,0.0,75.66,11.54,1.86,6.85,2.16
424,"Fortuna, California",0.52,0.3,0.6,65.73,18.44,2.9,4.96,6.55
425,"Fort Jones, California",0.0,11.45,0.0,66.9,10.88,2.06,6.64,2.06
426,"Healdsburg, California",0.0,1.3,0.0,55.51,25.44,0.57,5.14,12.04
427,"Hawthorne, California",18.5,6.06,0.35,7.19,40.69,0.57,5.74,20.9
428,"Hawaiian Gardens, California",3.37,6.4,0.0,3.87,47.67,0.34,2.06,36.29
429,"Hanford, California",4.63,4.53,0.28,32.93,43.92,0.6,4.17,8.94
430,"Gustine, California",0.0,0.21,0.0,34.22,51.64,0.41,2.97,10.54
431,"Guadalupe, California",0.4,3.16,0.83,4.32,76.42,1.54,1.65,11.68
432,"Grover Beach, California",2.52,3.79,0.45,53.05,28.52,0.86,3.85,6.97
433,"Gridley, California",0.8,2.59,0.0,41.68,36.92,0.14,2.87,15.0
434,"Greenfield, California",3.24,2.52,0.0,21.78,53.98,0.0,1.17,17.3
435,"Greenfield, California",0.81,0.16,0.0,4.55,66.02,0.11,0.57,27.78
436,"Grass Valley, California",0.4,1.41,0.0,76.73,11.72,3.66,4.22,1.85
437,"Grand Terrace, California",3.75,5.0,0.41,30.49,42.44,0.34,4.98,12.59
438,"Hayward, California",8.66,21.62,1.8,14.2,34.29,0.61,5.63,13.19
439,"Goleta, California",1.99,7.04,0.08,45.45,30.43,0.72,4.55,9.74
440,"Gonzales, California",0.27,1.7,0.21,3.44,65.41,0.41,0.66,27.92
441,"Fountain Valley, California",0.52,32.73,0.27,42.49,14.83,0.3,4.37,4.49
442,"Fowler, California",0.67,11.99,0.0,14.76,59.51,0.43,3.81,8.82
443,"Fremont, California",2.81,53.24,0.83,18.86,11.98,0.41,4.49,7.38
444,"Fullerton, California",2.35,21.69,0.34,28.48,32.8,0.33,4.29,9.72
445,"Galt, California",1.47,4.32,0.03,41.47,38.67,0.28,4.61,9.13
446,"Foster City, California",2.48,46.68,0.12,36.69,8.01,0.23,4.56,1.22
447,"Garden Grove, California",0.85,34.66,0.19,16.95,31.71,0.41,1.8,13.44
448,"Gilroy, California",1.37,7.64,0.0,26.48,51.71,0.54,4.23,8.02
449,"Glendale, California",1.51,14.53,0.11,58.24,17.04,0.34,3.14,5.08
450,"Glendora, California",1.75,9.62,0.15,43.79,30.21,0.53,5.92,8.02
451,"Gardena, California",18.54,19.93,0.95,7.83,31.03,0.3,3.48,17.94
452,"Palm Bay, Florida",17.98,1.97,0.0,58.76,15.38,0.73,3.17,2.02
453,"Palatka, Florida",42.49,1.32,0.08,46.84,6.91,0.39,1.68,0.29
454,"Pahokee, Florida",55.3,0.0,0.0,9.46,29.06,0.0,0.85,5.32
455,"Oviedo, Florida",8.18,4.49,0.01,59.35,21.54,0.01,2.43,3.99
456,"Ormond Beach, Florida",4.29,2.25,0.0,84.63,6.18,0.12,1.46,1.07
457,"Orlando, Florida",23.6,3.96,0.03,34.66,28.89,0.17,2.93,5.76
458,"Orange City, Florida",6.84,1.43,0.0,66.16,19.5,0.23,0.96,4.88
459,"Ocean Ridge, Florida",0.0,0.84,0.0,84.12,12.52,0.0,1.26,1.26
460,"Oldsmar, Florida",5.85,5.1,0.0,73.27,11.98,0.17,2.04,1.59
461,"Okeechobee, Florida",8.76,1.82,0.0,57.72,27.26,0.87,2.82,0.75
462,"Ocoee, Florida",17.97,4.52,0.0,44.41,22.67,0.29,2.72,7.43
463,"Palm Beach, Florida",0.77,1.66,0.0,91.35,4.01,0.43,0.12,1.66
464,"Orange Park, Florida",12.7,3.59,0.0,59.66,14.5,0.0,5.87,3.68
465,"Palm Beach Gardens, Florida",4.73,3.82,0.02,78.7,9.58,0.14,2.37,0.63
466,"Parkland, Florida",6.49,6.02,0.0,64.69,20.07,0.31,1.69,0.73
467,"Palmetto, Florida",13.17,1.03,0.0,56.9,25.62,0.26,1.56,1.46
468,"Panama City, Florida",20.72,1.92,0.0,63.85,8.06,0.23,4.4,0.81
469,"Panama City Beach, Florida",5.52,4.23,0.0,77.72,5.42,0.35,5.61,1.15
470,"Parker, Florida",16.69,1.11,0.0,76.8,3.6,0.0,1.3,0.5
471,"Ocala, Florida",19.82,3.01,0.13,60.71,13.17,0.05,2.67,0.44
472,"Pembroke Park, Florida",48.69,1.47,0.0,15.37,28.59,1.05,1.81,3.01
473,"Pembroke Pines, Florida",20.27,4.59,0.07,27.61,40.2,0.37,2.38,4.51
474,"Pensacola, Florida",28.51,1.85,0.05,57.39,5.25,0.28,5.94,0.73
475,"Perry, Florida",40.53,0.0,0.0,53.69,2.9,0.46,0.52,1.9
476,"Pinellas Park, Florida",5.57,8.13,0.01,69.72,11.1,0.33,3.51,1.61
477,"Plantation, Florida",21.25,4.21,0.06,43.38,24.76,0.08,3.72,2.55
478,"Plantation, Florida",0.99,0.59,0.0,94.71,2.1,0.0,1.43,0.18
479,"Plant City, Florida",13.17,1.77,0.05,44.86,27.09,0.22,1.58,11.26
480,"Palm Beach Shores, Florida",0.62,0.0,0.0,94.17,3.0,0.0,2.21,0.0
481,"Oakland Park, Florida",25.25,3.06,0.0,34.0,27.52,0.52,6.44,3.22
482,"North Bay Village, Florida",2.66,1.99,0.0,27.26,57.09,0.0,3.03,7.97
483,"North Redington Beach, Florida",0.0,1.69,0.0,93.45,4.34,0.0,0.52,0.0
484,"Mangonia Park, Florida",81.99,0.3,0.0,4.91,10.3,0.0,0.0,2.51
485,"Marco Island, Florida",0.08,1.57,0.0,88.51,8.96,0.0,0.61,0.26
486,"Margate, Florida",27.46,3.84,0.0,37.12,25.22,0.06,3.44,2.86
487,"Marianna, Florida",48.25,0.66,0.0,46.95,1.79,0.36,1.81,0.18
488,"Mascotte, Florida",10.75,0.29,0.0,37.66,40.32,1.5,6.53,2.94
489,"Medley, Florida",0.09,0.62,0.0,7.38,91.46,0.0,0.44,0.0
490,"Melbourne, Florida",10.73,3.57,0.08,68.28,11.19,0.32,3.78,2.05
491,"Melbourne Beach, Florida",0.0,0.9,0.0,88.83,8.28,0.0,1.99,0.0
492,"Mexico Beach, Florida",0.0,2.32,0.0,86.37,5.98,0.39,4.37,0.58
493,"Miami, Florida",16.36,1.0,0.03,9.9,67.16,0.23,1.66,3.65
494,"Miami Beach, Florida",3.48,1.4,0.12,31.89,47.09,0.18,1.76,14.07
495,"Miami Gardens, Florida",68.12,0.61,0.05,2.67,25.48,0.16,1.21,1.7
496,"Miami Lakes, Florida",2.37,0.89,0.0,10.27,82.28,0.02,1.36,2.8
497,"Miami Springs, Florida",1.65,1.37,0.0,18.66,76.98,0.0,0.34,1.0
498,"Milton, Florida",9.03,2.4,1.91,71.14,8.7,0.68,5.19,0.96
499,"Minneola, Florida",11.82,1.17,0.0,57.11,22.96,0.95,2.34,3.65
500,"North Port, Florida",7.8,1.98,0.0,79.36,7.73,0.08,2.46,0.58
501,"North Miami Beach, Florida",39.42,2.93,0.07,17.1,35.66,0.17,1.37,3.29
502,"North Miami, Florida",59.11,1.6,0.01,9.17,26.08,0.02,1.27,2.72
503,"North Lauderdale, Florida",50.16,4.27,0.34,10.62,26.86,0.21,5.33,2.21
504,"Pompano Beach, Florida",31.96,1.22,0.01,41.86,20.19,0.19,3.01,1.55
505,"Oakland, Florida",20.59,3.35,0.0,53.92,13.63,0.0,3.71,4.81
506,"Niceville, Florida",8.08,2.59,0.0,79.41,4.42,0.12,5.12,0.26
507,"New Port Richey, Florida",4.58,0.84,0.0,78.4,12.51,0.68,2.03,0.97
508,"Neptune Beach, Florida",1.27,1.36,0.0,90.68,3.94,0.59,2.08,0.08
509,"Naples, Florida",4.79,0.67,0.0,89.2,4.58,0.02,0.54,0.2
510,"Mount Dora, Florida",15.08,0.78,0.0,65.46,12.32,0.99,4.55,0.82
511,"Monticello, Florida",48.69,0.0,0.0,48.64,1.49,0.35,0.83,0.0
512,"Miramar, Florida",43.52,5.85,0.01,11.65,33.3,0.11,3.39,2.19
513,"New Smyrna Beach, Florida",4.2,0.97,0.03,89.05,2.92,0.64,1.63,0.55
514,"Port Orange, Florida",5.69,3.35,0.02,80.18,6.91,0.84,2.01,1.0
515,"Sanford, Florida",26.27,3.95,0.01,37.69,23.83,0.26,4.01,3.99
516,"Port St. Lucie, Florida",18.18,2.17,0.02,55.26,19.4,0.35,2.63,1.99
517,"Tavares, Florida",11.58,1.82,0.05,71.23,10.83,0.18,2.5,1.82
518,"Temple Terrace, Florida",20.92,4.3,0.2,48.42,18.39,0.2,5.48,2.09
519,"Titusville, Florida",11.55,2.18,0.23,75.89,6.27,0.49,2.58,0.8
520,"Treasure Island, Florida",0.36,1.84,0.16,89.59,5.53,0.0,1.93,0.59
521,"Trenton, Florida",14.38,0.0,0.0,68.41,13.8,0.0,2.46,0.94
522,"Umatilla, Florida",0.67,0.0,0.0,91.55,7.78,0.0,0.0,0.0
523,"Valparaiso, Florida",8.13,3.35,0.0,66.14,11.85,1.92,8.5,0.12
524,"Venice, Florida",0.88,1.82,0.24,93.46,2.06,0.16,1.12,0.26
525,"Vero Beach, Florida",7.25,1.06,0.05,79.54,8.59,0.66,1.52,1.33
526,"Wauchula, Florida",11.6,0.99,0.4,45.89,32.22,0.15,1.54,7.21
527,"Welaka, Florida",37.52,0.0,0.0,56.72,5.17,0.0,0.59,0.0
528,"Westlake, Florida",0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
529,"West Melbourne, Florida",5.61,7.77,0.0,70.1,9.88,0.37,4.25,2.02
530,"Manalapan, Florida",0.71,0.71,1.07,92.5,5.0,0.0,0.0,0.0
531,"Winter Springs, Florida",5.16,3.84,0.0,65.3,18.02,0.08,4.12,3.48
532,"Winter Park, Florida",7.48,3.33,0.0,74.35,10.28,0.45,2.44,1.67
533,"Winter Haven, Florida",25.94,1.5,0.05,54.4,14.14,0.33,2.58,1.05
534,"Winter Garden, Florida",12.91,6.18,0.46,44.46,24.54,0.13,4.11,7.22
535,"Windermere, Florida",0.98,3.23,0.0,83.98,8.23,0.0,2.22,1.36
536,"Tarpon Springs, Florida",6.93,1.4,0.03,78.92,9.08,0.15,2.68,0.81
537,"Wilton Manors, Florida",12.19,1.16,0.05,72.27,11.77,0.0,1.18,1.36
538,"Wildwood, Florida",19.78,4.32,0.0,70.18,3.71,0.84,1.17,0.0
539,"White Springs, Florida",44.75,0.0,0.0,44.23,0.92,0.92,9.19,0.0
540,"West Park, Florida",53.04,0.61,0.0,14.34,26.32,0.3,2.72,2.67
541,"West Palm Beach, Florida",33.03,2.72,0.07,36.28,23.09,0.06,1.87,2.88
542,"Weston, Florida",4.26,5.13,0.04,32.77,50.42,0.42,3.26,3.71
543,"West Miami, Florida",2.48,0.0,0.0,6.03,89.57,0.0,1.14,0.78
544,"Williston, Florida",23.5,0.59,0.0,65.47,8.46,0.0,1.25,0.74
545,"Port St. Joe, Florida",41.73,0.78,0.0,50.18,5.79,0.0,1.51,0.0
546,"Tampa, Florida",22.95,3.97,0.05,42.34,24.37,0.31,3.57,2.45
547,"Tallahassee, Florida",34.29,4.36,0.04,50.79,6.78,0.17,2.56,1.0
548,"Punta Gorda, Florida",2.4,0.68,0.0,89.25,6.07,0.26,0.85,0.5
549,"Quincy, Florida",63.13,0.75,0.0,22.11,13.06,0.25,0.52,0.19
550,"Riviera Beach, Florida",68.6,1.87,0.0,20.08,6.34,0.01,1.76,1.34
551,"Rockledge, Florida",13.04,2.3,0.0,70.89,9.69,0.23,2.81,1.05
552,"Safety Harbor, Florida",4.66,2.0,0.04,82.26,7.41,0.02,2.22,1.39
553,"Sanibel, Florida",0.3,0.18,0.0,96.97,1.33,0.62,0.23,0.36
554,"Sarasota, Florida",13.4,1.55,0.0,65.8,15.9,0.26,1.7,1.38
555,"Satellite Beach, Florida",3.77,0.71,0.5,82.59,8.64,0.47,3.2,0.11
556,"Sebastian, Florida",6.46,0.27,0.2,83.67,6.49,0.27,1.8,0.84
557,"Sebring, Florida",16.58,0.43,0.13,55.97,18.29,0.16,2.48,5.97
558,"Seminole, Florida",2.09,3.93,0.24,86.18,4.91,0.42,1.74,0.49
559,"Sewall's Point, Florida",1.28,0.0,0.0,90.29,5.23,0.0,2.66,0.52
560,"Sneads, Florida",20.6,0.0,0.0,74.34,2.42,0.26,1.42,0.95
561,"South Bay, Florida",53.62,0.7,0.0,17.31,23.92,0.21,1.96,2.28
562,"South Daytona, Florida",13.78,0.6,0.05,73.61,7.03,0.69,3.5,0.74
563,"South Miami, Florida",13.22,5.15,0.05,25.19,51.51,0.0,2.98,1.91
564,"Sweetwater, Florida",2.14,1.06,0.25,2.75,91.91,0.12,0.97,0.8
565,"Surfside, Florida",0.36,0.64,0.0,50.51,38.8,0.0,0.0,9.7
566,"Sunrise, Florida",33.75,3.55,0.02,27.27,29.8,0.17,2.68,2.77
567,"Sunny Isles Beach, Florida",2.72,2.2,0.0,49.75,42.14,0.47,1.17,1.54
568,"Stuart, Florida",14.13,2.52,0.0,65.59,13.47,0.0,2.28,2.01
569,"St. Petersburg, Florida",22.26,3.64,0.07,61.54,7.74,0.23,3.23,1.29
570,"Tamarac, Florida",28.95,3.09,0.02,34.84,27.94,0.29,2.63,2.25
571,"St. Pete Beach, Florida",0.21,3.05,0.0,90.97,3.93,0.16,1.14,0.56
572,"St. Augustine Beach, Florida",0.03,0.0,0.0,89.14,8.12,0.0,0.43,2.29
573,"St. Augustine, Florida",10.82,0.92,0.17,79.64,5.59,0.42,1.59,0.84
574,"Starke, Florida",30.77,0.0,0.0,61.4,5.66,0.13,1.65,0.39
575,"Springfield, Florida",23.84,1.03,0.11,62.05,7.71,0.46,4.05,0.76
576,"Southwest Ranches, Florida",5.53,4.23,0.25,49.68,36.31,0.0,3.1,0.91
577,"Zephyrhills, Florida",5.33,1.52,0.0,72.55,13.92,0.46,3.38,2.84
578,"St. Cloud, Florida",6.91,1.65,0.0,44.05,34.5,0.89,3.79,8.2
579,"Maitland, Florida",14.36,3.67,0.0,60.46,15.26,0.0,3.1,3.17
580,"South Pasadena, Florida",2.44,0.86,0.0,90.65,5.14,0.0,0.61,0.31
581,"Lynn Haven, Florida",10.4,1.05,0.07,79.54,4.78,0.15,2.88,1.14
582,"Clewiston, Florida",12.71,2.16,0.0,29.75,49.21,0.0,1.84,4.32
583,"Cocoa, Florida",27.58,1.94,0.24,49.79,14.2,0.24,3.63,2.39
584,"Cocoa Beach, Florida",1.25,1.23,0.0,88.39,6.96,0.41,0.67,1.09
585,"Coconut Creek, Florida",16.49,2.96,0.11,53.37,22.47,0.05,2.96,1.59
586,"Cooper City, Florida",6.1,6.64,0.16,52.09,26.99,0.04,4.04,3.95
587,"Coral Gables, Florida",3.37,2.54,0.01,33.75,57.73,0.06,1.78,0.75
588,"Coral Springs, Florida",20.51,5.09,0.08,40.94,26.35,0.25,3.5,3.28
589,"Crescent City, Florida",15.42,2.16,0.0,61.44,15.88,0.0,4.84,0.26
590,"Crestview, Florida",16.69,2.19,0.18,67.05,6.7,0.13,5.6,1.45
591,"Cross City, Florida",17.57,0.0,0.24,76.31,0.47,0.09,5.32,0.0
592,"Cutler Bay, Florida",11.21,1.5,0.0,24.72,56.12,0.08,2.39,3.97
593,"Dade City, Florida",24.31,0.21,0.0,48.22,23.36,0.0,1.98,1.91
594,"Dania Beach, Florida",18.27,1.92,0.0,42.1,30.4,0.21,3.37,3.73
595,"Davenport, Florida",19.69,0.89,0.0,39.35,35.67,0.0,1.93,2.47
596,"Davie, Florida",8.49,5.36,0.31,41.49,34.84,0.19,3.26,6.07
597,"Daytona Beach, Florida",34.16,2.53,0.05,51.05,6.92,0.19,2.46,2.64
598,"Daytona Beach Shores, Florida",2.02,1.98,1.84,89.93,3.06,0.0,0.0,1.17
599,"Fernandina Beach, Florida",10.42,3.43,0.0,77.38,6.5,0.0,0.52,1.76
600,"Fellsmere, Florida",7.36,0.0,0.0,12.69,63.87,0.3,0.0,15.78
601,"Eustis, Florida",19.59,0.52,0.0,58.71,15.47,0.37,3.38,1.95
602,"Edgewood, Florida",18.41,7.23,0.0,59.0,7.95,0.21,4.8,2.4
603,"Edgewater, Florida",2.2,0.91,0.0,85.93,5.26,1.58,2.74,1.38
604,"Clermont, Florida",10.77,4.8,0.15,57.87,21.37,0.39,3.15,1.51
605,"Eatonville, Florida",76.65,0.16,0.0,11.33,8.96,0.0,2.49,0.41
606,"Dunedin, Florida",3.9,2.47,0.26,83.27,6.05,0.51,2.49,1.05
607,"Doral, Florida",2.14,3.22,0.0,10.24,81.24,0.03,1.4,1.73
608,"Delray Beach, Florida",30.08,2.37,0.1,52.13,10.12,0.08,2.13,2.99
609,"DeLand, Florida",15.21,1.91,0.0,62.9,15.53,0.34,2.42,1.7
610,"DeFuniak Springs, Florida",18.64,0.0,0.0,72.46,2.85,0.89,2.93,2.22
611,"Deerfield Beach, Florida",26.67,2.17,0.02,47.52,18.06,0.29,2.53,2.75
612,"Dunnellon, Florida",12.25,1.27,0.0,73.64,5.24,1.08,6.06,0.45
613,"Flagler Beach, Florida",3.13,0.0,0.0,92.14,4.43,0.0,0.3,0.0
614,"Clearwater, Florida",10.97,2.3,0.13,63.35,16.99,0.3,3.48,2.48
615,"Chattahoochee, Florida",50.64,0.5,0.19,37.93,10.28,0.0,0.47,0.0
616,"Madeira Beach, Florida",0.33,0.81,0.19,92.52,4.04,0.0,1.86,0.26
617,"Alachua, Florida",27.99,0.77,0.0,60.91,7.45,1.05,1.56,0.27
618,"Altamonte Springs, Florida",13.29,3.68,0.13,48.52,26.62,0.05,4.21,3.51
619,"Apopka, Florida",19.89,3.13,0.0,41.39,28.16,0.23,1.96,5.23
620,"Arcadia, Florida",22.79,0.66,0.17,47.46,25.32,0.42,1.07,2.11
621,"Astatula, Florida",4.14,0.0,0.0,67.67,25.16,0.89,1.24,0.89
622,"Atlantic Beach, Florida",5.99,2.69,0.0,82.33,4.27,0.09,3.59,1.03
623,"Atlantis, Florida",3.17,1.92,0.0,88.36,6.4,0.14,0.0,0.0
624,"Auburndale, Florida",10.94,0.49,0.0,66.22,20.36,0.0,0.95,1.03
625,"Aventura, Florida",2.33,1.43,0.0,53.87,39.84,0.1,1.58,0.84
626,"Bartow, Florida",20.62,2.89,0.0,54.43,16.24,0.13,3.7,1.99
627,"Bay Harbor Islands, Florida",4.6,1.56,0.0,38.12,46.95,0.0,1.16,7.6
628,"Belleair, Florida",0.55,3.81,0.0,87.11,5.73,0.0,1.69,1.11
