State,City,Population,None,High School,Associates,Bachelors,Graduate,Total
Pennsylvania,South Uniontown,1415,118,377,315,215,88,1113
Pennsylvania,Southview,352,60,154,40,19,0,273
Pennsylvania,Spinnerstown,1822,50,383,367,262,110,1172
Pennsylvania,Springmont,553,13,123,186,103,21,446
Pennsylvania,Starbrick,377,26,223,75,8,0,332
Pennsylvania,Star Junction,397,27,194,35,24,16,296
Pennsylvania,Stevens,445,84,149,72,58,0,363
Pennsylvania,Stiles,1220,63,293,259,118,107,840
Pennsylvania,Russell,1383,85,401,219,184,182,1071
Pennsylvania,Slatedale,862,37,219,55,9,140,460
Pennsylvania,Simpson,1238,60,409,261,80,65,875
Pennsylvania,State Line,2287,152,818,328,141,96,1535
Pennsylvania,Siglerville,158,19,91,26,0,0,136
Pennsylvania,Silkworth,928,79,234,103,135,108,659
Pennsylvania,Salix,1340,46,496,195,86,44,867
Pennsylvania,Salunga,3100,166,750,362,731,239,2248
Pennsylvania,Saw Creek,3757,325,816,1042,435,242,2860
Pennsylvania,Saylorsburg,552,96,131,74,67,40,408
Pennsylvania,Schoeneck,1057,210,258,160,67,11,706
Pennsylvania,Schubert,264,0,138,32,39,0,209
Pennsylvania,St. Vincent College,1274,6,20,12,7,39,84
Pennsylvania,Shartlesville,587,36,261,70,45,28,440
Pennsylvania,Shavertown,2216,53,454,705,283,162,1657
Pennsylvania,Sheatown,840,39,232,106,93,69,539
Pennsylvania,Shippensburg University,1940,13,8,7,12,0,40
Pennsylvania,Sierra View,4487,297,892,1112,438,407,3146
Pennsylvania,Scotland,836,28,242,294,18,59,641
Pennsylvania,Sidman,462,7,96,52,12,110,277
Puerto Rico,Culebra zona urb,1182,,,,,,0
Puerto Rico,Las Ochenta comunidad,792,,,,,,0
Puerto Rico,Jobos comunidad,2103,,,,,,0
Puerto Rico,Rafael Capó comunidad,1709,,,,,,0
Puerto Rico,Humacao zona urb,18487,,,,,,0
Puerto Rico,Bartolo comunidad,1232,,,,,,0
Puerto Rico,Río Grande zona urb,12973,,,,,,0
Puerto Rico,Central Aguirre comunidad,1318,,,,,,0
Puerto Rico,Playita comunidad (Salinas Municipio),523,,,,,,0
Puerto Rico,G. L. García comunidad,1851,,,,,,0
Puerto Rico,Las Ollas comunidad,1722,,,,,,0
Puerto Rico,Galateo comunidad,3097,,,,,,0
Puerto Rico,San Antonio comunidad (Quebradillas Municipio),1591,,,,,,0
Puerto Rico,Levittown comunidad,25225,,,,,,0
Puerto Rico,Pole Ojea comunidad,1684,,,,,,0
Puerto Rico,Benítez comunidad,1444,,,,,,0
Puerto Rico,Caguas zona urb,74980,,,,,,0
Puerto Rico,Vieques comunidad,2527,,,,,,0
Puerto Rico,Suárez comunidad,1877,,,,,,0
Puerto Rico,Puerto Real comunidad,6892,,,,,,0
Puerto Rico,Barranquitas zona urb,2276,,,,,,0
Puerto Rico,Sabana Hoyos comunidad,2244,,,,,,0
Puerto Rico,La Playa comunidad,2131,,,,,,0
Puerto Rico,Isabela zona urb,10708,,,,,,0
Puerto Rico,Adjuntas zona urb,4222,,,,,,0
Puerto Rico,Playa Fortuna comunidad,1119,,,,,,0
Puerto Rico,Guayanilla zona urb,4634,,,,,,0
Puerto Rico,Pájaros comunidad,9554,,,,,,0
Puerto Rico,Rosa Sánchez comunidad,415,,,,,,0
Puerto Rico,Lomas comunidad,1267,,,,,,0
Puerto Rico,Monserrate comunidad,2462,,,,,,0
Puerto Rico,Palmer comunidad,1017,,,,,,0
Puerto Rico,Barahona comunidad,2241,,,,,,0
Puerto Rico,Coto Norte comunidad,1225,,,,,,0
Puerto Rico,Villalba zona urb,3028,,,,,,0
Puerto Rico,Ingenio comunidad,3896,,,,,,0
Puerto Rico,Marueño comunidad,838,,,,,,0
Puerto Rico,Capitanejo comunidad,3038,,,,,,0
Puerto Rico,Palo Seco comunidad,681,,,,,,0
Puerto Rico,María Antonia comunidad,944,,,,,,0
Puerto Rico,Río Lajas comunidad,2394,,,,,,0
Puerto Rico,Corozal zona urb,8871,,,,,,0
Puerto Rico,Palmarejo comunidad (Coamo Municipio),676,,,,,,0
Puerto Rico,Piedra Gorda comunidad,1392,,,,,,0
Puerto Rico,Jayuya zona urb,2506,,,,,,0
Puerto Rico,Barceloneta zona urb,3851,,,,,,0
Puerto Rico,Las Marías comunidad,2286,,,,,,0
Puerto Rico,Yauco zona urb,16802,,,,,,0
Puerto Rico,Potala Pastillo comunidad,2927,,,,,,0
Puerto Rico,Aguadilla zona urb,11170,,,,,,0
Puerto Rico,Imbéry comunidad,4280,,,,,,0
Puerto Rico,Comerío zona urb,4661,,,,,,0
Puerto Rico,Parcelas Nuevas comunidad,1399,,,,,,0
Puerto Rico,Cidra zona urb,5620,,,,,,0
Puerto Rico,Cataño zona urb,24888,,,,,,0
Puerto Rico,Loíza zona urb,3343,,,,,,0
Puerto Rico,Garrochales comunidad,1125,,,,,,0
Puerto Rico,Bajadero comunidad,3411,,,,,,0
Puerto Rico,Cabán comunidad,3419,,,,,,0
Puerto Rico,Añasco zona urb,5526,,,,,,0
Puerto Rico,Río Cañas Abajo comunidad,1242,,,,,,0
Puerto Rico,Aibonito zona urb,8352,,,,,,0
Puerto Rico,Santa Clara comunidad,747,,,,,,0
Puerto Rico,Moca zona urb,3486,,,,,,0
Puerto Rico,Breñas comunidad,4030,,,,,,0
Puerto Rico,Coquí comunidad,3187,,,,,,0
Puerto Rico,Miranda comunidad,1495,,,,,,0
Puerto Rico,Magas Arriba comunidad,910,,,,,,0
Puerto Rico,La Parguera comunidad,772,,,,,,0
Puerto Rico,Lares zona urb,3983,,,,,,0
