State,City,Population,None,High School,Associates,Bachelors,Graduate,Total
Alabama,La Fayette,2945,525,858,412,113,84,1992
Alabama,Altoona,890,122,222,191,12,16,563
Alabama,Benton,47,0,6,23,3,11,43
Alabama,Mosses,1073,165,353,121,20,25,684
Alabama,Ohatchee,1293,101,356,306,114,47,924
Alabama,Saks,10763,1380,2544,2352,487,507,7270
Alabama,New Brockton,1127,163,269,244,83,18,777
Alabama,Madrid,301,43,77,78,15,2,215
Alabama,Oakman,691,117,145,114,36,10,422
Alabama,Toxey,118,21,36,13,12,0,82
Alabama,Sylvan Springs,1670,156,460,404,84,86,1190
Alabama,Helena,17861,440,1874,3645,4032,1952,11943
Alabama,Hoover,84480,2143,7677,14869,20516,12926,58131
Alabama,Midfield,5158,549,1396,1099,492,113,3649
Alabama,Vestavia Hills,34163,569,2175,4568,8676,7548,23536
Alabama,Andalusia,8864,870,1928,1858,829,485,5970
Alabama,Horn Hill,262,55,57,51,8,0,171
Alabama,Onycha,119,30,18,15,4,0,67
Alabama,Red Level,324,59,83,62,15,6,225
Alabama,Birmingham,212021,20165,41444,45946,23616,14262,145433
Alabama,Fort Deposit,1630,213,446,170,40,87,956
Alabama,Reece City,729,91,247,170,39,8,555
Alabama,Trafford,640,92,216,95,27,18,448
Alabama,Rock Creek,1369,38,473,338,102,63,1014
Alabama,Babbie,557,58,150,163,14,9,394
Alabama,Shorter,433,82,124,86,29,12,333
Alabama,Tuskegee,8699,836,1101,1408,683,466,4494
Alabama,Clayton,2900,878,818,399,58,29,2182
Alabama,Heath,339,32,51,67,30,16,196
Alabama,Opp,6520,864,1724,1346,345,185,4464
Alabama,Hayneville,1028,209,288,148,22,45,712
Alabama,Carrollton,1056,168,185,205,78,36,672
Alabama,Boaz,9553,1178,1650,2210,744,488,6270
Alabama,Rainbow City,9581,534,1950,2321,1195,829,6829
Alabama,Lowndesboro,99,5,11,46,8,8,78
Alabama,Alexandria,4000,320,870,1058,368,229,2845
Alabama,Brookside,1538,195,421,265,45,27,953
Alabama,Forestdale,9273,414,1884,2725,1179,491,6693
Alabama,Gardendale,13875,614,3046,3377,1722,1019,9778
Alabama,Grayson Valley,5986,369,1226,1901,612,211,4319
Alabama,Graysville,1965,284,635,449,114,27,1509
Alabama,Hueytown,15583,1245,3640,3721,1013,603,10222
Alabama,Berry,1400,237,379,200,76,9,901
Alabama,Belk,243,72,59,31,8,6,176
Alabama,Anniston,21924,2596,4891,4820,1570,1607,15484
Alabama,Atmore,9746,1827,3180,1179,460,256,6902
Alabama,Mignon,974,125,222,256,38,19,660
Alabama,Triana,686,81,121,160,122,40,524
Alabama,Meadowbrook,9387,132,545,2090,2365,1108,6240
Alabama,Dayton,26,0,0,7,2,5,14
Alabama,Demopolis,6918,736,1574,1298,643,436,4687
Alabama,Sweet Water,326,9,57,48,56,12,182
Alabama,Huguley,2273,348,726,477,136,28,1715
Alabama,Shiloh,321,50,74,64,29,5,222
Alabama,Ozark,14456,1566,3493,3481,1122,641,10303
Alabama,Goldville,33,4,8,7,2,4,25
Alabama,Waverly,154,1,31,40,26,27,125
Alabama,Valley,9305,785,2441,2019,651,173,6069
Alabama,Littleville,1104,116,371,198,34,15,734
Alabama,Bear Creek,1256,209,339,245,34,41,868
Alabama,Lexington,927,54,317,146,43,20,580
Alabama,Decatur,54617,6390,9908,12028,6554,2637,37517
Alabama,Lincoln,6600,747,1661,1559,675,239,4881
Alabama,Woodland,204,21,56,38,27,22,164
Alabama,Fairhope,20327,582,2045,3883,4720,2847,14077
Alabama,Hartselle,14405,881,2957,3530,1550,976,9894
Alabama,North Johns,188,19,68,44,2,4,137
Alabama,Powell,1089,304,232,201,27,12,776
Alabama,Camp Hill,1101,160,270,128,38,21,617
Alabama,Lineville,2471,331,544,501,105,93,1574
Alabama,Heflin,3449,519,805,679,225,110,2338
Alabama,Akron,295,55,82,67,5,1,210
Alabama,Moundville,2774,259,587,566,203,124,1739
Alabama,Guntersville,8377,1124,1376,1599,1187,707,5993
Alabama,Pollard,198,20,36,38,6,6,106
Alabama,Orange Beach,5927,246,980,1166,1600,627,4619
Alabama,Goshen,223,31,48,24,22,9,134
Alabama,Bay Minette,9089,963,2184,1791,593,297,5828
Alabama,Elberta,1741,166,472,426,172,53,1289
Alabama,Talladega,15609,2565,3690,2969,810,680,10714
Alabama,New Site,791,92,225,185,57,21,580
Alabama,Wedowee,772,113,216,119,58,38,544
Alabama,Loxley,2077,210,447,310,208,129,1304
Alabama,Sylvania,2413,309,519,445,145,64,1482
Alabama,St. Florian,406,34,121,76,73,23,327
Alabama,Somerville,534,109,135,119,31,33,427
Alabama,Oak Grove,605,114,163,129,21,15,442
Alabama,Vincent,2162,279,516,489,72,30,1386
Alabama,Geraldine,929,121,246,178,58,38,641
Alabama,Point Clear,2482,318,301,291,345,369,1624
Alabama,Mountain Brook,20466,64,383,1552,6113,5304,13416
Alabama,Brighton,2823,332,600,796,147,88,1963
Alabama,Allgood,674,203,137,95,7,10,452
Alabama,Rosa,400,52,93,89,20,19,273
Alabama,Brantley,828,81,244,106,99,39,569
Alabama,Deatsville,1350,39,207,356,158,74,834
Alabama,Frisco City,1459,234,379,214,18,47,892
Alabama,Courtland,771,128,200,130,24,31,513
Alabama,Aliceville,2408,551,562,347,140,62,1662
Alabama,Montgomery,200156,19289,33346,36751,24452,16871,130709
Alabama,Arley,566,76,146,113,32,39,406
Alabama,Bridgeport,2303,329,708,447,114,24,1622
Alabama,Pleasant Groves,416,56,171,45,18,8,298
Alabama,Fayette,4385,359,1132,880,449,159,2979
Alabama,Notasulga,953,88,295,223,59,56,721
Alabama,Baileyton,810,136,246,148,44,14,588
Alabama,West Point,593,66,132,133,52,15,398
Alabama,Oak Hill,22,14,0,2,5,1,22
Alabama,Midway,703,167,186,81,16,23,473
Alabama,Lakeview,154,15,46,27,6,0,94
Alabama,Dutton,411,36,104,59,16,21,236
Alabama,Addison,641,74,211,114,59,29,487
Alabama,Billingsley,121,22,26,22,4,0,74
Alabama,Winfield,4475,405,843,855,479,294,2876
Alabama,Meridianville,6609,292,1174,1609,1171,496,4742
Alabama,Redstone Arsenal,1414,11,73,291,182,136,693
Alabama,Ladonia,3444,281,960,795,167,134,2337
Alabama,York,3078,449,704,477,177,101,1908
Alabama,McKenzie,608,81,148,131,22,21,403
Alabama,Columbiana,4420,706,1400,587,311,238,3242
Alabama,Centreville,2677,199,1041,419,123,198,1980
Alabama,Luverne,2771,502,716,470,222,123,2033
Alabama,Rutledge,363,74,97,79,11,0,261
Alabama,Yellow Bluff,149,25,42,13,1,0,81
Alabama,West Blocton,1352,174,514,199,144,57,1088
Alabama,Gordo,1856,208,586,438,121,26,1379
Alabama,Brent,4840,1060,1392,834,133,86,3505
Alabama,Section,959,158,189,193,44,28,612
Alabama,Skyline,939,128,277,194,21,29,649
Alabama,South Vinemont,630,91,145,132,36,23,427
Alabama,Carolina,258,21,59,90,10,2,182
Alabama,River Falls,646,130,138,113,67,6,454
Alabama,Gu-Win,118,14,34,20,1,0,69
Alabama,Bon Air,87,12,33,11,0,5,61
Alabama,Waldo,261,35,79,58,20,5,197
Alabama,Newton,1722,170,434,445,94,59,1202
Alabama,Coffee Springs,195,23,62,61,8,4,158
Alabama,Linden,2041,266,743,371,111,96,1587
Alabama,Ethelsville,169,19,39,8,6,5,77
Alabama,Pine Apple,155,22,40,27,14,10,113
Alabama,Haleyville,3996,645,1080,751,207,75,2758
Alabama,County Line,274,36,89,44,20,0,189
Alabama,Nauvoo,160,28,45,30,9,0,112
Alabama,Holt,4159,663,1044,805,133,51,2696
Alabama,Northport,25457,1400,4243,4977,3659,2547,16826
Alabama,Hillsboro,618,91,193,101,28,12,425
Alabama,Highland Lake,360,26,82,75,51,39,273
Alabama,Elmore,1607,295,428,191,62,17,993
Alabama,Tallassee,5013,668,1159,1139,242,182,3390
Alabama,Elkmont,490,67,155,78,24,30,354
Alabama,Trussville,21721,453,2918,5007,4049,2222,14649
Alabama,Elba,3852,661,902,748,278,65,2654
Alabama,Columbia,661,72,156,234,52,36,550
Alabama,Grand Bay,4090,382,1044,959,286,51,2722
Alabama,McDonald Chapel,633,130,157,91,31,0,409
Alabama,Sipsey,397,64,94,108,6,6,278
Alabama,Pelham,23242,1293,3057,5740,3909,1966,15965
Alabama,Edgewater,743,56,197,168,26,13,460
Alabama,Vance,1732,67,421,350,173,67,1078
Alabama,Nectar,330,37,91,79,17,5,229
Alabama,Alexander City,14621,1848,2960,3470,1127,609,10014
Alabama,Taylor,2397,381,558,497,107,34,1577
Alabama,Webb,1453,219,480,287,40,31,1057
Alabama,Bayou La Batre,2527,603,420,343,77,14,1457
Alabama,Mooresville,89,4,5,14,29,19,71
Alabama,Tillmans Corner,17814,1698,4646,3540,1389,356,11629
Alabama,Carbon Hill,1402,267,308,239,55,54,923
Alabama,Tuscaloosa,98881,5848,15016,14406,11761,8584,55615
Alabama,Oneonta,6575,1140,1059,1523,467,308,4497
Alabama,Susan Moore,700,166,177,143,29,24,539
Alabama,Fulton,208,40,74,29,0,0,143
Alabama,Gaylesville,191,33,53,40,18,0,144
Alabama,Glenwood,221,14,46,83,11,17,171
Alabama,Marion,3359,378,652,384,87,120,1621
Alabama,Langston,216,15,89,53,24,13,194
Alabama,Hazel Green,3452,333,1128,630,310,53,2454
Alabama,Madison,48275,1174,4133,8515,10784,7914,32520
Alabama,Edwardsville,197,30,40,34,3,3,110
Alabama,Lake View,3028,97,498,800,405,115,1915
Alabama,Snead,702,99,161,181,61,38,540
Alabama,Robertsdale,6521,572,1811,1281,482,128,4274
Alabama,Garden City,553,93,133,130,22,6,384
Alabama,Georgiana,1914,303,680,279,83,72,1417
Alabama,Ider,644,78,237,142,38,23,518
Alabama,Pine Ridge,287,81,29,68,8,4,190
Alabama,Sand Rock,471,50,135,112,38,31,366
Alabama,Valley Head,660,63,182,126,45,13,429
Alabama,Waterloo,195,24,59,28,21,4,136
Alabama,Eva,560,37,130,137,48,22,374
Alabama,Falkville,1373,231,414,276,70,67,1058
Alabama,Priceville,3318,169,652,562,546,317,2246
Alabama,Fyffe,1357,139,315,278,45,47,824
Alabama,Childersburg,4959,682,1221,1137,274,66,3380
Alabama,Avon,463,33,171,92,29,19,344
Alabama,West End-Cobb Town,3346,731,777,848,97,57,2510
Alabama,Kinston,708,116,187,125,35,5,468
Alabama,Rehobeth,1862,132,341,386,177,84,1120
Alabama,Ardmore,1305,160,415,219,80,72,946
Alabama,Athens,25176,2490,5027,5270,3686,1470,17943
Alabama,Citronelle,3911,426,1033,593,299,106,2457
Alabama,Dauphin Island,1229,41,260,313,202,202,1018
Alabama,Attalla,5847,493,1632,1436,105,137,3803
Alabama,Fort Payne,14006,2591,2446,2648,686,750,9121
Alabama,Mentone,305,28,66,93,36,47,270
Alabama,Steele,1133,193,305,222,38,37,795
Alabama,Homewood,25595,510,1646,2985,5284,5032,15457
Alabama,Irondale,12474,1019,2406,2261,1910,992,8588
Alabama,Wilsonville,2246,192,593,548,143,103,1579
Alabama,Sardis City,1763,154,384,493,102,129,1262
Alabama,White Hall,786,182,171,157,36,3,549
Alabama,Mulga,803,163,200,178,20,1,562
Alabama,Monroeville,6011,570,1801,914,473,293,4051
Alabama,Minor,1074,34,334,264,76,7,715
Alabama,Tarrant,6212,829,1681,1279,309,94,4192
Alabama,Florence,40104,3553,7471,7692,4386,2819,25921
Alabama,Hamilton,6664,975,1731,1548,364,227,4845
Alabama,Banks,157,13,41,24,12,7,97
Alabama,Wadley,809,109,96,74,37,15,331
Alabama,Wilton,806,158,193,118,54,12,535
Alabama,Lanett,6318,930,1580,1087,569,234,4400
Alabama,Tuscumbia,8426,996,1962,1698,632,400,5688
Alabama,Boligee,519,11,178,23,22,5,239
Alabama,Malvern,1773,222,388,436,68,41,1155
Alabama,Thorsby,1938,252,440,318,228,64,1302
Alabama,Cardiff,43,10,5,0,2,2,19
Alabama,Mobile,191485,15014,38493,39647,23367,13753,130274
Alabama,Argo,4235,315,807,1234,245,255,2856
Alabama,Bessemer,26759,2918,6850,5823,1843,654,18088
Alabama,Napier Field,418,41,105,113,19,3,281
Alabama,Fairview,497,75,97,101,15,19,307
Alabama,Vredenburgh,363,74,108,54,0,0,236
Alabama,Scottsboro,14527,1408,3792,3236,1434,716,10586
Alabama,Eufaula,12289,1594,2823,2381,876,506,8180
Alabama,Warrior,3209,357,1296,714,101,72,2540
Alabama,Double Springs,1408,258,320,204,61,36,879
Alabama,Natural Bridge,14,2,4,2,2,0,10
Alabama,Selmont-West Selmont,2040,310,710,275,65,0,1360
Alabama,North Courtland,704,151,210,104,12,2,479
Alabama,Margaret,4752,245,909,762,302,188,2406
Alabama,Killen,1196,76,231,278,145,73,803
Alabama,McIntosh,431,5,119,80,49,12,265
Alabama,Muscle Shoals,13874,873,3095,3078,1791,838,9675
Alabama,Forkland,794,135,189,163,28,12,527
Alabama,Albertville,21460,3179,4084,3909,1606,595,13373
Alabama,Hartford,2604,396,656,561,135,42,1790
Alabama,Gilbertown,166,22,52,15,11,1,101
Alabama,Lisman,627,109,137,160,18,36,460
Alabama,Daleville,5113,640,1159,1205,357,150,3511
Alabama,Fairfield,10790,793,2149,2834,895,381,7052
Alabama,Douglas,1077,123,223,242,24,18,630
Alabama,Town Creek,1136,162,321,161,69,15,728
Alabama,Leeds,12348,918,2334,2867,1671,814,8604
Alabama,Lipscomb,2024,379,512,339,62,21,1313
Alabama,Sumiton,2586,233,613,712,126,60,1744
Alabama,West Jefferson,465,38,141,89,16,29,313
Alabama,Needham,113,16,24,26,11,2,79
Alabama,Silas,613,140,149,104,23,17,433
Alabama,Jacksonville,12654,578,1447,2672,1269,1029,6995
Alabama,Weaver,3076,266,578,865,278,75,2062
Alabama,Gordon,237,70,74,35,1,4,184
Alabama,Faunsdale,32,4,8,2,11,2,27
Alabama,Ariton,697,119,139,104,26,46,434
Alabama,Clayhatchee,513,44,136,157,15,16,368
Alabama,Level Plains,2478,162,477,663,174,84,1560
Alabama,Newbern,203,26,66,25,17,6,140
Alabama,Phil Campbell,1513,166,347,223,72,34,842
Alabama,Blue Ridge,1602,31,206,350,325,218,1130
Alabama,Millbrook,15160,633,2796,3319,1840,918,9506
Alabama,Prattville,35657,2636,6898,6637,4493,3262,23926
Alabama,Wetumpka,8117,813,1741,1938,814,401,5707
Alabama,Rockford,714,125,140,201,52,31,549
Alabama,Concord,1690,104,517,331,107,62,1121
Alabama,Adamsville,4374,568,952,967,381,118,2986
Alabama,Parrish,1108,205,306,195,18,0,724
Alabama,Flomaton,1695,174,589,278,46,23,1110
Alabama,Five Points,258,39,72,54,4,2,171
Alabama,Oxford,21208,1750,4656,4849,1988,1198,14441
Alabama,Cowarts,2223,227,564,387,171,89,1438
Alabama,Prichard,21927,2667,5456,4057,916,414,13510
Alabama,Satsuma,6151,500,1840,1298,508,239,4385
Alabama,Maytown,328,43,80,82,14,8,227
Alabama,Morris,1831,122,408,458,285,91,1364
Alabama,Pleasant Grove,10185,504,2201,2800,993,639,7137
Alabama,Glencoe,5120,534,1070,1397,428,459,3888
Alabama,Hokes Bluff,4271,147,1180,1059,421,219,3026
Alabama,Gordonville,185,28,60,31,9,6,134
Alabama,Lockhart,282,49,85,71,6,4,215
Alabama,Autaugaville,821,220,295,89,33,26,663
Alabama,Arab,8234,714,1570,1954,911,499,5648
Alabama,Pell City,13593,1349,2846,3585,1307,532,9619
Alabama,Rogersville,1177,121,285,249,100,27,782
Alabama,Sheffield,8986,1296,2059,1802,902,495,6554
Alabama,Brilliant,1037,153,271,219,7,7,657
Alabama,Brewton,5263,658,1185,968,597,330,3738
Alabama,Harvest,5700,266,668,1315,936,388,3573
Alabama,Eclectic,1042,70,228,196,100,30,624
Alabama,Owens Cross Roads,2029,161,384,476,266,153,1440
Alabama,Brookwood,2192,109,570,481,201,53,1414
Alabama,Walnut Grove,917,132,212,179,45,12,580
Alabama,Dothan,67872,5821,13187,15732,7306,4298,46344
Alabama,Kinsey,2211,280,482,516,109,32,1419
Alabama,Theodore,6483,565,1642,1192,494,135,4028
Alabama,Eldridge,134,9,14,40,10,0,73
Alabama,Jasper,13727,1115,3215,3070,1133,749,9282
Alabama,Kansas,187,43,44,21,5,0,113
Alabama,Fultondale,9097,657,1916,2180,1084,419,6256
Alabama,Foley,17818,1618,3547,5030,2241,1075,13511
Alabama,Underwood-Petersville,3196,276,975,587,288,176,2302
Alabama,Guin,2561,331,777,581,133,70,1892
Alabama,Daphne,25361,637,3411,5754,4878,2457,17137
Alabama,Silverhill,633,56,157,149,89,54,505
Alabama,Leesburg,1092,143,240,284,82,51,800
Alabama,Rainsville,5018,670,1342,1215,139,159,3525
Alabama,Piedmont,4651,519,1257,1034,279,148,3237
Alabama,Huntsville,193663,12566,25133,37166,34088,22071,131024
Alabama,Castleberry,510,110,151,102,24,0,387
Alabama,Abbeville,2582,387,694,527,96,185,1889
Alabama,Greenville,7714,965,1896,1183,655,366,5065
Alabama,Evergreen,3705,331,1107,601,163,88,2290
Alabama,East Brewton,2963,361,852,666,106,26,2011
Alabama,Hurtsboro,551,86,113,190,18,17,424
Alabama,Haleburg,132,15,21,34,23,5,98
Alabama,Newville,402,59,115,82,22,16,294
Alabama,Louisville,496,139,115,47,14,11,326
Alabama,Orrville,175,49,45,43,8,6,151
Alabama,Cuba,410,20,82,69,92,52,315
Alabama,Gainesville,161,10,48,24,17,2,101
Alabama,Libertyville,85,11,17,17,7,4,56
Alabama,Alabaster,32878,2221,4730,7026,4801,2748,21526
Alabama,Harpersville,1506,222,442,279,84,31,1058
Alabama,Gantt,128,19,38,32,13,1,103
Alabama,Glen Allen,435,51,114,112,28,19,324
Alabama,Franklin,186,27,39,31,9,19,125
Alabama,Blue Springs,95,7,34,15,13,3,72
Alabama,Hobson City,724,105,159,176,35,13,488
Alabama,Cottonwood,1291,205,389,259,50,12,915
Alabama,Chickasaw,5837,604,1192,1082,307,179,3364
Alabama,Saraland,14268,1407,3536,2733,1077,563,9316
Alabama,Cordova,1927,327,640,382,32,53,1434
Alabama,New Market,1205,115,286,148,146,77,772
Alabama,Repton,288,31,104,44,22,5,206
Alabama,New Hope,2856,299,676,651,276,52,1954
Alabama,Gurley,738,69,194,139,69,37,508
Alabama,Auburn,62996,1692,3718,7743,9348,7850,30351
Alabama,Opelika,29798,2355,6097,6413,3272,2451,20588
Alabama,Leighton,1088,174,338,171,33,20,736
Alabama,Fort Rucker,5134,21,298,1134,626,235,2314
Alabama,Midland City,2144,243,470,419,127,19,1278
Alabama,Black,197,22,70,36,8,4,140
Alabama,Geneva,4379,878,1291,691,191,154,3205
Alabama,Jacksons' Gap,779,189,225,166,33,0,613
Alabama,Maplesville,752,94,210,119,39,17,479
Alabama,Odenville,3751,490,848,869,363,132,2702
Alabama,Brundidge,2295,268,637,282,119,94,1400
Alabama,Roanoke,5941,901,1341,1359,398,253,4252
Alabama,Rock Mills,486,51,165,85,59,0,360
Alabama,Russellville,9711,1702,2361,1192,315,352,5922
Alabama,Vina,363,112,67,63,21,0,263
Alabama,Providence,179,18,73,34,4,17,146
Alabama,Grant,933,119,191,163,106,54,633
Alabama,Daviston,186,10,35,65,11,9,130
Alabama,Clanton,8724,1178,2473,1542,661,369,6223
Alabama,Moores Mill,6815,443,1497,1416,955,483,4794
Alabama,Excel,1013,72,270,166,59,63,630
Alabama,Pine Hill,782,44,264,134,28,34,504
Alabama,Spruce Pine,149,26,0,75,0,22,123
Alabama,Woodstock,2371,173,824,407,133,54,1591
Alabama,Westover,1603,124,255,384,204,101,1068
Alabama,Valley Grande,3773,138,833,976,315,200,2462
Alabama,Center Point,16460,1067,3109,4364,1221,538,10299
Alabama,Smiths Station,5349,652,1033,1369,516,167,3737
Alabama,Gadsden,35624,5194,7988,7551,2411,1548,24692
Alabama,Abanda,218,121,26,13,0,0,160
Alabama,Mount Vernon,1243,185,508,232,51,17,993
Alabama,Pennington,333,75,89,69,11,20,264
Alabama,Union,295,36,87,96,24,12,255
Alabama,Red Bay,3102,503,883,431,132,58,2007
Alabama,Stockton,709,57,117,175,63,101,513
Alabama,Stapleton,1196,53,283,392,101,81,910
Alabama,Perdido,751,124,324,95,29,0,572
Alabama,Samson,2086,361,440,367,56,48,1272
Alabama,Lillian,1330,40,488,416,111,77,1132
Alabama,Axis,1473,256,84,287,171,107,905
Alabama,Belgreen,76,17,17,20,0,6,60
Alabama,Chelsea,12643,363,1189,2672,2708,967,7899
Alabama,Ashville,2418,329,647,530,105,84,1695
Alabama,Ashland,1943,355,376,378,96,42,1247
Alabama,Ashford,2346,212,569,526,157,115,1579
Alabama,Carlisle-Rockledge,2391,304,720,513,53,31,1621
Alabama,Calvert,957,338,145,0,0,44,527
Alabama,Ballplay,1458,169,332,388,141,0,1030
Alabama,Bucks,68,18,0,50,0,0,68
Alabama,Brook Highland,7116,157,560,1488,1901,1069,5175
Alabama,Bristow Cove,769,97,197,176,0,20,490
Alabama,Brantleyville,987,109,244,214,52,33,652
Alabama,Boykin,134,50,28,40,0,0,118
Alabama,Belle Fontaine,532,108,67,117,52,0,344
Alabama,Bellamy,380,33,265,48,0,0,346
Alabama,Broomtown,198,56,23,23,17,0,119
Alabama,Bon Secour,1011,244,368,108,71,116,907
Alabama,Kimberly,3073,112,757,644,237,213,1963
Alabama,Cottondale,3469,283,760,845,80,90,2058
Alabama,Stewartville,1627,321,401,360,65,25,1172
Alabama,Sterrett,866,194,248,151,82,41,716
Alabama,Tidmore Bend,1237,179,266,281,126,26,878
Alabama,Standing Rock,153,21,21,56,13,0,111
Alabama,Spring Garden,185,0,63,51,0,13,127
Alabama,Sims Chapel,85,0,0,51,0,0,51
Alabama,Tibbie,73,0,0,26,0,11,37
Alabama,Shoal Creek,1398,0,74,262,368,267,971
Alabama,Loachapoka,251,15,49,54,45,19,182
Alabama,Dadeville,3115,643,768,402,102,50,1965
Alabama,Pickensville,883,106,219,169,32,10,536
Alabama,Talladega Springs,188,33,41,38,10,5,127
Alabama,Calera,13557,662,2128,3211,2027,889,8917
Alabama,Coosada,1116,124,238,236,138,60,796
Alabama,Vernon,1811,220,537,315,118,46,1236
Alabama,Uriah,307,0,115,50,2,59,226
Alabama,Vandiver,1016,203,239,127,78,39,686
Alabama,Vinegar Bend,247,0,60,31,34,0,125
Alabama,Semmes,4869,704,1406,912,467,204,3693
Alabama,Morrison Crossroads,253,121,36,51,19,0,227
Alabama,Joppa,690,177,158,192,0,74,601
Alabama,Riverside,2500,193,553,682,187,98,1713
Alabama,Good Hope,2793,376,549,583,133,33,1674
Alabama,Moody,12752,684,2715,3431,1187,429,8446
Alabama,Kellyton,196,16,83,56,2,3,160
Alabama,Twin,457,78,123,98,22,18,339
Alabama,Pinson,7121,281,1644,2042,696,289,4952
Alabama,Munford,1305,148,285,290,92,32,847
Alabama,Cusseta,112,21,23,24,7,10,85
Alabama,Whitesboro,2352,321,552,422,118,78,1491
Alabama,White Plains,770,41,294,185,16,49,585
Alabama,Whatley,178,144,16,18,0,0,178
Alabama,Weogufka,301,28,85,69,0,0,182
Alabama,Bakerhill,278,34,67,60,24,18,203
Alabama,Butler,2136,266,485,449,164,76,1440
Alabama,Camden,2142,149,535,370,175,84,1313
Alabama,Clio,1018,185,216,153,34,2,590
Alabama,Millerville,158,55,20,57,0,0,132
Alabama,Megargel,12,0,12,0,0,0,12
Alabama,Marbury,1573,188,376,179,155,85,983
Alabama,Malcolm,358,11,79,55,0,0,145
Alabama,Macedonia,197,41,76,61,0,0,178
Alabama,Lookout Mountain,1805,194,477,350,80,65,1166
Alabama,Mount Olive CDP (Coosa County),315,35,142,9,0,25,211
Alabama,Leroy,685,30,167,248,31,53,529
Alabama,Holtville,4133,449,985,836,418,246,2934
Alabama,Hollis Crossroads,591,98,203,126,9,17,453
Alabama,Hollins,892,182,275,180,0,33,670
Alabama,Hobson,147,7,72,0,19,9,107
Alabama,Hissop,461,97,224,95,45,0,461
Alabama,Highland Lakes,5500,36,514,760,1748,901,3959
Alabama,Ivalee,886,59,325,119,58,15,576
Alabama,Mount Olive CDP (Jefferson County),4021,161,876,1130,446,168,2781
Alabama,New Union,1091,89,319,257,51,11,727
Alabama,Movico,88,0,57,5,0,9,71
Alabama,Penton,68,4,20,21,6,0,51
Alabama,Perdido Beach,550,84,121,145,87,44,481
Alabama,Peterman,139,9,39,23,6,16,93
Alabama,Pine Level,4574,144,1151,744,501,228,2768
Alabama,Putnam,60,10,33,5,0,0,48
Alabama,Ray,257,13,92,36,55,14,210
Alabama,Redland,4242,87,685,699,836,497,2804
Alabama,Reeltown,306,10,98,48,33,15,204
Alabama,Rockville,16,7,5,0,0,0,12
Alabama,St. Stephens,394,58,148,111,21,0,338
Alabama,Shelby,1305,99,334,328,26,0,787
Alabama,Magnolia Springs,815,25,241,170,232,60,728
Alabama,Clay,9653,506,1957,2441,1168,499,6571
Alabama,Nances Creek,494,16,100,105,49,10,280
Alabama,Nanafalia,42,0,17,16,0,3,36
Alabama,Hatton,106,0,57,33,16,0,106
Alabama,Grimes,731,89,195,167,40,5,496
Alabama,Hackneyville,337,23,142,79,21,21,286
Alabama,Graham,84,26,21,16,10,11,84
Alabama,Uniontown,1969,326,539,290,90,29,1274
Alabama,Stevenson,1847,245,632,272,90,40,1279
Alabama,Springville,4195,158,1033,737,647,309,2884
Alabama,Reform,1907,297,484,364,78,84,1307
Alabama,Pike Road,8884,227,809,1720,1719,1522,5997
Alabama,Jemison,2637,221,786,379,99,106,1591
Alabama,Carlton,36,23,13,0,0,0,36
Alabama,Indian Springs Village,2590,19,231,370,656,502,1778
Alabama,Goodwater,1311,274,348,242,58,25,947
Alabama,Fruithurst,254,45,89,31,11,1,177
Alabama,Florala,1549,272,488,440,81,27,1308
Alabama,Eutaw,2722,613,712,669,107,111,2212
Alabama,Creola,1887,186,513,342,144,53,1238
Alabama,Coaling,1635,162,354,371,158,48,1093
Alabama,Henagar,2059,313,660,434,35,34,1476
Alabama,Catherine,21,0,10,11,0,0,21
Alabama,Choccolocco,2396,156,443,669,277,218,1763
Alabama,Chunchula,142,21,57,32,22,0,132
Alabama,Gallant,743,99,184,143,34,23,483
Alabama,Fruitdale,224,0,70,14,0,0,84
Alabama,Fredonia,220,11,46,85,32,8,182
Alabama,Fitzpatrick,41,18,0,23,0,0,41
Alabama,Fayetteville,1432,225,393,383,50,43,1094
Alabama,Fairford,64,22,26,9,0,0,57
Alabama,Eunola,239,66,82,58,0,0,206
Alabama,Emerald Mountain,3200,76,222,728,416,413,1855
Alabama,Egypt,774,130,114,201,60,10,515
Alabama,East Point,97,65,0,16,16,0,97
Alabama,Dunnavant,914,120,227,233,79,9,668
Alabama,Delta,219,0,151,27,0,0,178
Alabama,Deer Park,134,0,89,24,0,0,113
Alabama,Cullomburg,155,15,49,22,20,0,106
Alabama,Coats Bend,1600,141,516,358,84,22,1121
Alabama,Gulfcrest,321,39,87,39,0,0,165
Alabama,Panola,33,0,8,25,0,0,33
Alabama,Crossville,1945,361,521,297,67,124,1370
Alabama,Ranburne,539,75,133,106,24,21,359
Alabama,Emelle,69,1,12,28,4,1,46
Alabama,Woodville,821,117,229,130,16,4,496
Alabama,Montevallo,6654,378,1174,975,677,356,3560
Alabama,Myrtlewood,122,33,29,33,5,4,104
Alabama,Chatom,980,73,265,247,64,81,730
Alabama,Millry,602,110,182,63,39,31,425
Alabama,Millport,1061,133,361,186,111,59,850
Alabama,Sulligent,2083,274,653,338,105,81,1451
Alabama,Anderson,254,62,71,53,11,7,204
Alabama,Hackleburg,1341,183,295,325,71,38,912
Alabama,Trinity,2972,255,555,623,224,102,1759
Alabama,Gulf Shores,12033,303,2254,3602,2115,1309,9583
Alabama,Summerdale,1026,64,276,198,90,30,658
Alabama,Hammondville,526,76,121,130,25,26,378
