,Location,Never_Marrieds,Marrieds,Divorceds,Separateds,Widoweds
94,"Brantley, Alabama",43.24,30.48,12.61,4.35,9.31
95,"Deatsville, Alabama",19.3,68.24,8.84,0.1,3.52
96,"Frisco City, Alabama",34.66,36.97,7.76,6.47,14.14
97,"Courtland, Alabama",30.81,40.44,14.38,2.69,11.69
98,"Aliceville, Alabama",51.29,24.18,9.22,5.12,10.19
99,"Montgomery, Alabama",40.93,37.14,12.68,3.1,6.15
100,"Arley, Alabama",24.12,54.47,11.02,1.25,9.15
101,"Bridgeport, Alabama",27.74,40.29,20.93,1.12,9.91
102,"Pleasant Groves, Alabama",31.29,52.05,4.97,2.92,8.77
103,"Fayette, Alabama",25.57,47.22,14.55,3.62,9.04
104,"Notasulga, Alabama",27.42,51.11,12.14,0.58,8.75
105,"Baileyton, Alabama",15.37,55.86,19.18,3.2,6.39
106,"West Point, Alabama",18.76,67.8,7.46,2.13,3.84
107,"Oak Hill, Alabama",22.73,18.18,9.09,0.0,50.0
108,"Midway, Alabama",66.67,13.09,12.04,1.92,6.28
109,"Lakeview, Alabama",15.09,47.17,16.98,1.89,18.87
110,"Dutton, Alabama",24.1,47.23,11.73,3.58,13.36
111,"Addison, Alabama",17.74,51.94,17.74,1.11,11.46
112,"Billingsley, Alabama",30.56,22.22,13.89,12.04,21.3
113,"Winfield, Alabama",23.88,51.21,8.53,4.5,11.88
114,"Meridianville, Alabama",26.62,57.28,10.36,0.64,5.09
115,"Redstone Arsenal, Alabama",47.58,45.38,6.24,0.26,0.53
116,"Ladonia, Alabama",18.44,49.96,23.76,2.09,5.75
117,"York, Alabama",50.61,29.44,9.11,3.65,7.18
118,"McKenzie, Alabama",37.77,36.03,13.32,3.93,8.95
119,"Columbiana, Alabama",29.62,37.49,15.93,5.0,11.96
120,"Centreville, Alabama",32.66,44.26,12.16,1.29,9.63
121,"Luverne, Alabama",28.72,40.67,15.19,1.05,14.36
122,"Rutledge, Alabama",18.71,43.88,20.75,4.08,12.59
123,"Yellow Bluff, Alabama",63.03,10.08,2.52,10.92,13.45
124,"West Blocton, Alabama",33.7,33.7,19.71,4.21,8.68
125,"Gordo, Alabama",24.82,38.89,19.67,3.97,12.64
126,"Brent, Alabama",47.64,26.93,12.94,5.08,7.4
127,"Section, Alabama",21.57,52.61,14.7,0.96,10.16
128,"Skyline, Alabama",22.77,51.18,12.17,2.75,11.13
129,"South Vinemont, Alabama",32.87,43.31,13.19,1.57,9.06
130,"Carolina, Alabama",14.0,68.5,13.0,1.0,3.5
131,"River Falls, Alabama",32.9,31.05,17.01,2.77,16.27
132,"Gu-Win, Alabama",34.78,47.83,13.04,0.0,4.35
133,"Bon Air, Alabama",22.22,48.61,15.28,4.17,9.72
134,"Waldo, Alabama",29.3,46.05,16.28,0.93,7.44
135,"Newton, Alabama",22.07,47.25,16.35,3.4,10.93
136,"Coffee Springs, Alabama",19.64,46.43,22.62,1.19,10.12
137,"Linden, Alabama",32.71,38.67,10.11,2.27,16.24
138,"Ethelsville, Alabama",39.05,52.38,4.76,0.0,3.81
139,"Pine Apple, Alabama",41.84,44.68,1.42,0.71,11.35
140,"Haleyville, Alabama",24.98,39.59,23.13,1.24,11.07
141,"County Line, Alabama",11.54,72.12,9.62,0.96,5.77
142,"Nauvoo, Alabama",18.18,51.05,16.08,4.9,9.79
143,"Holt, Alabama",39.8,39.74,11.73,1.65,7.07
144,"Northport, Alabama",34.03,47.18,11.21,0.71,6.87
145,"Hillsboro, Alabama",34.88,44.9,13.73,1.11,5.38
146,"Highland Lake, Alabama",12.5,62.18,12.18,2.24,10.9
147,"Elmore, Alabama",37.59,38.39,12.13,1.04,10.84
148,"Tallassee, Alabama",36.05,36.19,10.25,4.71,12.8
149,"Elkmont, Alabama",16.62,60.61,15.86,1.28,5.63
150,"Trussville, Alabama",18.24,62.87,11.11,0.97,6.81
151,"Elba, Alabama",30.36,42.32,14.56,3.25,9.51
152,"Columbia, Alabama",19.93,54.5,15.52,2.29,7.76
153,"Grand Bay, Alabama",17.68,56.93,15.19,3.4,6.8
154,"McDonald Chapel, Alabama",31.16,35.23,17.72,9.16,6.72
155,"Sipsey, Alabama",31.43,42.54,13.33,5.08,7.62
156,"Pelham, Alabama",27.72,55.22,12.39,0.74,3.93
157,"Edgewater, Alabama",23.26,51.94,14.92,4.65,5.23
158,"Vance, Alabama",24.79,58.3,9.81,0.46,6.64
159,"Nectar, Alabama",14.23,69.51,6.91,2.85,6.5
160,"Alexander City, Alabama",29.05,46.19,14.01,2.4,8.35
161,"Taylor, Alabama",19.96,52.02,18.33,4.76,4.93
162,"Webb, Alabama",23.97,54.3,13.72,1.98,6.03
163,"Bayou La Batre, Alabama",39.25,40.19,13.61,2.04,4.92
164,"Mooresville, Alabama",16.0,65.33,10.67,0.0,8.0
165,"Tillmans Corner, Alabama",28.31,48.64,15.58,2.42,5.04
166,"Carbon Hill, Alabama",21.81,34.67,24.15,4.17,15.2
167,"Tuscaloosa, Alabama",52.29,32.0,9.34,1.88,4.49
168,"Oneonta, Alabama",18.34,55.32,13.36,1.84,11.14
169,"Susan Moore, Alabama",25.56,57.46,8.73,0.48,7.78
170,"Fulton, Alabama",30.73,45.81,12.85,0.0,10.61
171,"Gaylesville, Alabama",17.95,64.74,8.33,0.0,8.97
172,"Glenwood, Alabama",18.38,65.95,1.62,0.0,14.05
173,"Marion, Alabama",47.97,15.03,24.14,1.91,10.95
174,"Langston, Alabama",10.53,59.81,19.62,1.44,8.61
175,"Hazel Green, Alabama",23.83,54.87,14.1,0.44,6.76
176,"Madison, Alabama",27.91,58.7,8.56,1.08,3.75
177,"Edwardsville, Alabama",9.42,64.49,13.77,0.0,12.32
178,"Lake View, Alabama",35.39,53.42,7.51,0.43,3.25
179,"Snead, Alabama",17.34,60.83,11.88,2.09,7.87
180,"Robertsdale, Alabama",22.11,45.54,17.2,3.84,11.32
181,"Garden City, Alabama",22.79,50.88,10.18,2.88,13.27
182,"Georgiana, Alabama",37.46,27.17,15.77,3.33,16.27
183,"Ider, Alabama",17.12,53.42,17.64,3.42,8.39
