,Location,Never_Marrieds,Marrieds,Divorceds,Separateds,Widoweds
3940,"Norwalk, Connecticut",34.53,48.33,10.24,1.33,5.56
3941,"East Hampton, Connecticut",28.84,54.04,10.83,0.0,6.29
3942,"Clinton, Connecticut",32.85,45.52,15.82,0.17,5.64
3943,"Darien, Connecticut",24.94,64.95,5.57,0.41,4.13
3944,"Woodbury Center, Connecticut",22.98,51.54,20.07,0.0,5.4
3945,"North Haven, Connecticut",26.52,57.2,7.97,1.13,7.18
3946,"Hazardville, Connecticut",32.01,45.45,12.34,1.05,9.16
3947,"Naugatuck borough, Connecticut",33.54,48.25,10.89,0.71,6.61
3948,"Kensington, Connecticut",21.41,56.9,11.78,0.21,9.7
3949,"Storrs, Connecticut",93.6,3.16,1.42,0.09,1.73
3950,"Coventry Lake, Connecticut",37.15,37.24,19.26,2.99,3.36
3951,"Oxoboxo River, Connecticut",21.92,54.54,15.18,0.0,8.36
3952,"Tariffville, Connecticut",40.57,46.91,9.04,2.03,1.44
3953,"Hartford, Connecticut",56.02,24.66,11.7,2.93,4.69
3954,"Collinsville, Connecticut",17.1,60.6,15.44,0.39,6.47
3955,"West Haven, Connecticut",44.92,35.51,12.93,1.69,4.95
3956,"Cheshire Village, Connecticut",24.42,56.49,9.92,0.35,8.82
3957,"North Grosvenor Dale, Connecticut",33.2,53.85,9.04,0.0,3.91
3958,"Heritage Village, Connecticut",12.61,45.64,17.92,0.17,23.65
3959,"New Britain, Connecticut",47.83,35.3,9.68,1.84,5.35
3960,"Ansonia, Connecticut",37.79,40.88,12.92,1.47,6.93
3961,"Broad Brook, Connecticut",29.75,48.33,13.83,2.4,5.69
3962,"Terramuggus, Connecticut",26.13,66.42,2.26,0.0,5.19
3963,"Bethlehem Village, Connecticut",24.58,50.28,18.39,3.03,3.72
3964,"Gales Ferry, Connecticut",20.54,63.6,11.33,1.98,2.55
3965,"Falls Village, Connecticut",26.47,47.79,11.27,2.45,12.01
3966,"Cos Cob, Connecticut",30.15,54.27,10.68,0.69,4.21
3967,"Conning Towers Nautilus Park, Connecticut",46.11,46.03,4.05,0.59,3.21
3968,"Cannondale, Connecticut",10.34,82.76,6.9,0.0,0.0
3969,"Byram, Connecticut",27.51,50.35,12.95,4.93,4.26
3970,"Brooklyn, Connecticut",43.35,27.43,13.19,10.44,5.59
3971,"Baltic, Connecticut",35.7,38.03,15.36,4.66,6.25
3972,"Wilton Center, Connecticut",33.72,42.32,15.78,2.58,5.6
3973,"Stafford Springs, Connecticut",38.75,38.31,15.87,1.66,5.4
3974,"Colchester, Connecticut",31.31,42.17,17.73,1.49,7.3
3975,"Deep River Center, Connecticut",35.28,43.39,16.46,0.0,4.86
3976,"West Hartford, Connecticut",33.22,50.89,8.97,0.82,6.1
3977,"Canaan, Connecticut",41.75,25.64,16.4,6.6,9.61
3978,"Portland, Connecticut",30.61,44.85,11.23,0.99,12.32
3979,"Ridgefield, Connecticut",18.12,61.45,12.76,0.21,7.46
3980,"Bantam borough, Connecticut",24.58,46.39,13.82,2.61,12.6
3981,"Thompsonville, Connecticut",43.06,30.35,17.94,2.31,6.35
3982,"Guilford Center, Connecticut",27.71,48.3,19.78,0.31,3.9
3983,"Meriden, Connecticut",38.14,41.12,12.07,1.49,7.18
3984,"Shelton, Connecticut",27.11,54.54,10.46,0.41,7.48
3985,"Danielson borough, Connecticut",38.37,36.6,14.73,3.19,7.11
3986,"Wethersfield, Connecticut",28.88,54.29,9.19,0.39,7.25
3987,"Wallingford Center, Connecticut",33.42,43.95,12.67,1.63,8.33
3988,"Jewett City borough, Connecticut",39.09,36.36,15.99,0.0,8.56
3989,"New Preston, Connecticut",12.39,68.71,15.58,0.0,3.31
3990,"Milford city (balance), Connecticut",29.51,52.02,11.22,0.76,6.48
3991,"Bristol, Connecticut",34.59,44.73,12.73,1.21,6.74
3992,"Stratford, Connecticut",31.79,49.41,10.52,0.91,7.36
3993,"Higganum, Connecticut",11.96,72.01,13.59,0.0,2.44
3994,"Norfolk, Connecticut",29.01,39.62,26.65,0.0,4.72
3995,"Manchester, Connecticut",42.11,38.96,12.61,1.2,5.12
3996,"Lakeville, Connecticut",26.61,52.36,18.13,0.0,2.9
3997,"Greenwich, Connecticut",31.3,50.45,11.75,2.48,4.02
3998,"Glenville, Connecticut",28.03,58.99,5.0,0.83,7.16
3999,"Suffield Depot, Connecticut",41.3,38.31,12.48,0.18,7.73
4000,"Glastonbury Center, Connecticut",27.77,47.44,15.02,1.85,7.92
4001,"Blue Hills, Connecticut",47.27,27.38,13.26,5.39,6.71
4002,"South Windham, Connecticut",36.47,47.89,9.93,0.0,5.71
4003,"Simsbury Center, Connecticut",21.92,62.33,9.81,0.42,5.52
4004,"Plainfield Village, Connecticut",23.21,46.92,13.64,6.06,10.17
4005,"Westport, Connecticut",23.3,63.19,7.16,0.74,5.61
4006,"Old Greenwich, Connecticut",21.04,70.15,5.91,0.6,2.3
4007,"Stamford, Connecticut",35.77,47.89,9.49,2.05,4.79
4008,"South Coventry, Connecticut",26.4,59.94,6.73,1.04,5.9
4009,"Old Mystic, Connecticut",21.12,58.95,12.68,1.25,6.0
4010,"Mystic, Connecticut",23.72,56.15,11.26,0.1,8.76
4011,"Groton, Connecticut",40.7,36.28,18.65,1.32,3.05
4012,"Winsted, Connecticut",36.98,40.46,15.88,1.3,5.37
4013,"Noank, Connecticut",25.24,54.44,13.43,0.0,6.9
4014,"South Woodstock, Connecticut",27.11,53.35,13.7,0.0,5.84
4015,"Newtown borough, Connecticut",24.01,58.34,12.23,0.0,5.41
4016,"Orange, Connecticut",23.87,62.81,5.56,0.43,7.33
4017,"New Haven, Connecticut",57.09,26.35,10.57,1.83,4.16
4018,"Poquonock Bridge, Connecticut",51.84,37.59,5.01,1.05,4.51
4019,"Saybrook Manor, Connecticut",30.0,51.67,13.75,0.73,3.85
4020,"Bethel, Connecticut",32.36,43.69,15.8,2.59,5.56
4021,"Pemberwick, Connecticut",32.26,50.94,9.61,0.0,7.19
4022,"Middletown, Connecticut",42.87,39.03,11.91,0.87,5.33
4023,"Riverside, Connecticut",23.65,63.3,7.02,1.05,4.99
4024,"Durham, Connecticut",30.01,51.36,12.68,0.89,5.05
4025,"Putnam, Connecticut",33.59,38.7,18.21,1.06,8.43
4026,"Chester Center, Connecticut",23.81,57.91,12.3,0.79,5.18
4027,"Moodus, Connecticut",29.26,56.34,6.38,0.0,8.03
4028,"Terryville, Connecticut",29.56,44.49,16.85,1.68,7.42
4029,"Oakville, Connecticut",28.8,53.13,9.57,0.81,7.7
4030,"Newington, Connecticut",30.55,48.33,12.31,0.97,7.83
4031,"Canton Valley, Connecticut",33.03,34.17,24.85,1.3,6.65
4032,"Derby, Connecticut",38.89,41.42,10.26,2.26,7.18
4033,"Branford Center, Connecticut",35.91,43.8,11.81,0.75,7.73
4034,"Trumbull, Connecticut",25.29,60.96,6.11,0.69,6.94
4035,"Old Saybrook Center, Connecticut",21.1,45.71,21.34,2.24,9.61
4036,"Lake Pocotopaug, Connecticut",24.18,54.48,16.15,0.46,4.74
4037,"New Hartford Center, Connecticut",34.78,29.29,28.6,0.0,7.32
4038,"Norwich, Connecticut",37.08,40.15,15.44,1.54,5.78
4039,"Somers, Connecticut",20.04,65.45,4.95,0.58,8.99
4040,"Stonington borough, Connecticut",24.38,48.17,19.43,0.82,7.18
4041,"Southport, Connecticut",22.09,58.24,12.47,0.76,6.44
4042,"Thomaston, Connecticut",37.5,31.64,20.43,0.0,10.44
4043,"Sharon, Connecticut",24.04,50.48,13.38,0.0,12.1
4044,"Watertown, Connecticut",26.12,53.85,10.06,1.07,8.9
4045,"Waterford, Connecticut",28.33,42.7,16.7,1.85,10.43
4046,"Mashantucket, Connecticut",40.34,50.57,5.11,0.0,3.98
4047,"Plantsville, Connecticut",30.19,45.93,16.4,0.0,7.48
4048,"Windsor Locks, Connecticut",30.81,47.52,14.34,1.61,5.72
4049,"New Milford, Connecticut",35.41,41.74,15.46,0.36,7.03
4050,"Torrington, Connecticut",31.21,45.8,15.13,0.82,7.04
4051,"Greenwood, Delaware",27.53,52.99,10.13,3.9,5.45
4052,"Blades, Delaware",34.79,45.89,9.51,1.98,7.83
4053,"Riverview, Delaware",29.54,61.71,6.41,0.0,2.34
4054,"Claymont, Delaware",36.84,42.1,13.23,2.27,5.55
4055,"Highland Acres, Delaware",21.71,62.93,8.58,0.23,6.55
4056,"Bear, Delaware",35.24,43.96,14.85,2.46,3.5
4057,"Dagsboro, Delaware",25.79,51.86,13.18,1.29,7.88
4058,"Millsboro, Delaware",27.85,53.08,7.38,2.19,9.5
4059,"South Bethany, Delaware",12.53,68.79,7.09,1.18,10.4
4060,"Slaughter Beach, Delaware",15.67,60.83,15.21,1.38,6.91
4061,"Selbyville, Delaware",27.92,49.79,9.59,2.73,9.97
4062,"Pike Creek, Delaware",23.11,58.67,13.86,0.5,3.85
4063,"Newport, Delaware",44.21,31.79,10.05,8.72,5.23
4064,"Rehoboth Beach, Delaware",21.69,62.89,7.55,2.01,5.86
4065,"Woodside, Delaware",22.98,30.43,35.4,3.73,7.45
4066,"Camden, Delaware",15.84,66.65,10.66,2.63,4.21
4067,"North Star, Delaware",18.65,73.31,3.32,0.36,4.36
4068,"Houston, Delaware",21.93,57.89,11.11,2.92,6.14
4069,"Millville, Delaware",24.95,57.6,9.88,1.99,5.58
4070,"Middletown, Delaware",27.55,55.73,6.89,2.8,7.02
4071,"Edgemoor, Delaware",39.91,41.16,15.96,0.52,2.45
4072,"Harrington, Delaware",27.66,56.55,10.69,0.0,5.1
4073,"Townsend, Delaware",30.65,54.06,9.02,2.87,3.41
4074,"Rising Sun-Lebanon, Delaware",26.45,54.64,13.96,1.99,2.95
4075,"Ardencroft village, Delaware",21.62,48.65,23.24,1.08,5.41
4076,"Newark, Delaware",60.23,29.27,6.01,0.78,3.7
4077,"Greenville, Delaware",24.53,56.36,10.23,0.94,7.94
4078,"Bridgeville, Delaware",21.27,58.04,10.86,3.15,6.69
4079,"Delaware City, Delaware",35.2,34.82,20.88,2.68,6.41
4080,"Little Creek, Delaware",32.65,48.3,12.93,0.68,5.44
4081,"Kent Acres, Delaware",27.87,46.47,14.46,3.91,7.29
4082,"Hartly, Delaware",25.0,65.91,4.55,0.0,4.55
4083,"Frederica, Delaware",32.89,50.2,9.26,4.3,3.36
4084,"Farmington, Delaware",30.67,34.67,12.0,6.67,16.0
4085,"Long Neck, Delaware",12.84,61.39,13.1,2.73,9.94
4086,"Ardentown village, Delaware",21.0,37.44,25.11,5.02,11.42
4087,"Cheswold, Delaware",28.6,42.9,13.04,4.18,11.28
4088,"Laurel, Delaware",48.03,30.42,12.6,4.21,4.73
4089,"Clayton, Delaware",33.07,53.67,9.15,1.19,2.91
4090,"Pike Creek Valley, Delaware",36.61,41.86,14.35,1.66,5.52
4091,"Felton, Delaware",34.53,40.33,13.53,2.55,9.05
4092,"Ocean View, Delaware",15.46,67.59,9.32,0.61,7.01
4093,"Milford, Delaware",32.85,46.2,10.65,2.46,7.83
4094,"Delmar, Delaware",36.2,37.85,17.13,1.22,7.6
4095,"Bethel, Delaware",16.86,61.63,9.88,2.91,8.72
4096,"Odessa, Delaware",23.43,55.35,13.13,2.02,6.06
4097,"New Castle, Delaware",36.34,40.8,13.94,2.26,6.66
4098,"Glasgow, Delaware",36.22,49.93,10.38,0.91,2.55
4099,"Dover, Delaware",46.38,33.0,13.24,1.57,5.81
4100,"Lewes, Delaware",18.48,58.57,10.48,1.76,10.72
4101,"Georgetown, Delaware",39.64,38.33,9.84,4.03,8.16
4102,"Fenwick Island, Delaware",7.87,72.69,4.63,1.62,13.19
4103,"Leipsic, Delaware",28.93,40.5,14.88,3.31,12.4
4104,"Frankford, Delaware",35.57,45.29,8.14,2.86,8.14
4105,"Bowers, Delaware",32.79,42.21,11.69,4.87,8.44
4106,"Dover Base Housing, Delaware",16.72,78.09,3.74,0.0,1.45
4107,"Rodney Village, Delaware",44.82,29.75,20.35,3.07,2.02
4108,"Wilmington, Delaware",53.08,25.1,13.18,2.17,6.47
4109,"Smyrna, Delaware",35.41,45.45,10.19,1.96,6.99
4110,"Hockessin, Delaware",22.2,63.8,6.05,0.25,7.7
4111,"Arden village, Delaware",32.16,41.35,15.14,3.51,7.84
4112,"Viola, Delaware",36.15,43.85,16.92,1.54,1.54
4113,"Kenton, Delaware",34.71,35.88,21.76,2.94,4.71
4114,"Seaford, Delaware",32.58,41.28,16.37,0.63,9.13
4115,"Milton, Delaware",25.89,47.22,12.42,3.43,11.03
4116,"Henlopen Acres, Delaware",19.44,70.56,4.44,0.0,5.56
4117,"Ellendale, Delaware",41.16,35.94,14.2,2.9,5.8
4118,"Dewey Beach, Delaware",18.98,62.37,9.49,1.02,8.14
4119,"Bethany Beach, Delaware",16.36,62.95,6.07,0.33,14.3
4120,"Wilmington Manor, Delaware",35.61,46.25,10.94,1.79,5.41
4121,"Elsmere, Delaware",45.15,33.28,16.08,0.52,4.96
4122,"Brookside, Delaware",36.93,42.89,13.89,1.52,4.77
4123,"Wyoming, Delaware",25.48,44.0,23.19,1.92,5.41
4124,"Magnolia, Delaware",43.13,29.01,16.41,9.92,1.53
4125,"St. Georges, Delaware",29.37,63.21,0.62,0.0,6.8
4126,"Bellefonte, Delaware",34.58,53.12,6.67,1.98,3.65
4127,"Woodside East, Delaware",41.33,33.22,14.07,6.91,4.46
4128,"Washington, District of Columbia",56.26,28.51,8.71,2.16,4.35
4129,"Winter Beach, Florida",25.33,57.83,7.36,0.0,9.47
4130,"Duck Key, Florida",22.22,47.95,15.07,0.0,14.76
4131,"Big Coppitt Key, Florida",30.82,36.95,22.96,1.48,7.78
4132,"Westwood Lakes, Florida",29.5,44.49,12.17,3.85,9.99
4133,"Westview, Florida",40.26,34.85,15.63,2.15,7.11
4134,"University Park, Florida",39.83,39.49,12.25,2.23,6.2
4135,"Tamiami, Florida",32.64,43.64,13.04,3.13,7.55
4136,"Clewiston, Florida",39.76,40.34,8.75,4.85,6.31
4137,"Raiford, Florida",35.26,47.4,11.56,0.0,5.78
4138,"Sharpes, Florida",25.89,40.44,20.87,2.7,10.09
4139,"Rockledge, Florida",24.57,54.6,12.53,1.34,6.96
4140,"Port St. John, Florida",28.38,49.35,13.72,1.87,6.67
4141,"Lake Kathryn, Florida",43.27,37.89,14.53,1.18,3.12
4142,"South Miami, Florida",39.57,41.69,11.37,3.11,4.26
4143,"Fort Pierce North, Florida",45.69,31.49,12.82,2.22,7.79
4144,"Largo, Florida",28.48,41.94,18.24,2.05,9.29
4145,"Gainesville, Florida",62.2,24.45,8.53,1.38,3.43
4146,"Pompano Beach, Florida",36.48,37.76,14.9,2.94,7.92
4147,"Keystone Heights, Florida",24.76,54.39,12.22,1.76,6.87
4148,"Mount Plymouth, Florida",29.34,49.74,10.22,5.03,5.66
4149,"Graceville, Florida",39.86,30.21,16.88,3.07,9.98
4150,"Zolfo Springs, Florida",28.56,51.56,9.46,3.39,7.03
4151,"Pembroke Pines, Florida",32.32,48.36,11.32,1.88,6.12
4152,"Nokomis, Florida",27.44,35.21,25.05,2.04,10.26
4153,"Tavernier, Florida",32.22,43.67,17.97,2.12,4.03
4154,"Fruitville, Florida",27.44,48.88,13.24,1.72,8.72
4155,"Kensington Park, Florida",34.13,42.83,11.77,3.81,7.46
4156,"Harbour Heights, Florida",24.42,56.12,10.08,3.2,6.19
4157,"Cleveland, Florida",24.1,46.51,12.89,0.4,16.1
4158,"Charlotte Harbor, Florida",23.01,38.63,11.77,1.95,24.64
4159,"Weston, Florida",26.19,60.62,8.62,0.87,3.7
4160,"Homosassa, Florida",5.11,62.17,19.7,0.0,13.03
4161,"Citrus Springs, Florida",24.09,49.97,15.86,1.97,8.1
4162,"Solana, Florida",29.93,46.76,10.36,1.15,11.8
4163,"Homosassa Springs, Florida",24.24,47.59,15.98,2.17,10.02
4164,"Montverde, Florida",25.41,61.89,8.29,0.23,4.18
4165,"Groveland, Florida",27.2,50.26,13.91,2.61,6.02
4166,"Paisley, Florida",16.6,53.68,21.64,4.1,3.99
4167,"Titusville, Florida",28.2,46.46,15.86,1.88,7.61
4168,"Crystal River, Florida",28.97,36.85,13.76,0.55,19.88
4169,"Washington Park, Florida",53.44,29.94,7.28,3.73,5.6
4170,"Combee Settlement, Florida",42.45,35.39,19.67,1.28,1.22
4171,"Auburndale, Florida",28.11,49.15,14.1,2.39,6.26
4172,"Lake Butler, Florida",37.99,35.96,17.08,2.73,6.24
4173,"The Meadows, Florida",11.94,55.92,13.86,0.0,18.28
4174,"Sarasota, Florida",32.91,38.84,17.14,2.33,8.78
4175,"Osprey, Florida",15.43,70.22,8.07,1.28,4.99
4176,"North Sarasota, Florida",35.6,38.07,17.21,1.93,7.18
4177,"North Port, Florida",23.96,53.54,13.34,1.54,7.62
4178,"Satellite Beach, Florida",20.0,61.0,11.06,0.84,7.1
4179,"Brooker, Florida",23.95,50.19,14.83,2.66,8.37
4180,"Springfield, Florida",32.63,32.43,20.08,4.74,10.13
4181,"Villas, Florida",28.39,42.82,17.42,1.9,9.47
4182,"Gulf Stream, Florida",16.8,71.36,6.72,0.32,4.8
4183,"Winter Park, Florida",32.22,47.92,11.69,0.97,7.19
4184,"East Palatka, Florida",42.55,24.31,21.69,2.82,8.64
4185,"Manalapan, Florida",6.74,75.66,10.11,0.0,7.49
4186,"Bristol, Florida",37.11,24.22,22.65,2.41,13.61
4187,"Spring Lake, Florida",18.73,66.08,14.31,0.88,0.0
4188,"Plantation Island, Florida",41.56,31.17,27.27,0.0,0.0
4189,"Chokoloskee, Florida",0.0,49.25,32.46,0.0,18.28
4190,"Pretty Bayou, Florida",20.34,54.29,14.25,0.92,10.2
4191,"Panama City, Florida",32.51,37.49,18.03,3.16,8.82
4192,"Wesley Chapel, Florida",28.72,54.6,10.45,1.54,4.68
4193,"Dade City North, Florida",50.32,32.33,9.99,1.64,5.73
4194,"Punta Rassa, Florida",7.29,58.54,5.77,0.0,28.41
4195,"Cape Coral, Florida",24.98,51.32,14.14,1.91,7.66
4196,"Buckingham, Florida",27.26,52.5,12.53,1.48,6.22
4197,"Bonita Springs, Florida",20.05,59.75,10.22,1.34,8.64
4198,"Lake City, Florida",34.31,35.1,20.39,3.82,6.39
4199,"Okahumpka, Florida",0.0,60.96,0.0,0.0,39.04
4200,"Mascotte, Florida",36.72,48.83,9.6,1.24,3.61
4201,"Lisbon, Florida",3.19,52.75,20.87,0.0,23.19
4202,"Malabar, Florida",20.89,60.41,13.49,0.73,4.47
4203,"Pace, Florida",26.08,55.33,11.09,2.67,4.83
4204,"Gulf Breeze, Florida",19.5,59.14,12.24,1.1,8.02
4205,"Pinellas Park, Florida",27.98,43.65,16.68,2.65,9.04
4206,"Port Charlotte, Florida",22.66,49.06,15.07,2.07,11.15
4207,"Tildenville, Florida",24.18,52.85,0.0,0.0,22.97
4208,"Ojus, Florida",26.95,48.56,13.59,3.79,7.11
4209,"Watertown, Florida",40.99,32.39,11.11,5.8,9.71
4210,"Astor, Florida",21.27,42.07,15.78,2.63,18.25
4211,"Webster, Florida",31.85,45.91,14.95,1.78,5.52
4212,"Esto, Florida",27.61,44.44,18.52,0.67,8.75
4213,"Lakeside, Florida",29.14,49.55,12.75,2.06,6.5
4214,"Welaka, Florida",26.88,41.94,15.05,2.33,13.8
4215,"South Gate Ridge, Florida",25.17,48.59,16.67,1.85,7.71
4216,"North Bay Village, Florida",36.18,40.59,15.82,2.31,5.1
4217,"Fort White, Florida",27.42,50.89,14.79,0.0,6.9
4218,"Valrico, Florida",25.1,59.12,9.56,1.53,4.7
4219,"Ebro, Florida",18.66,58.37,7.66,5.26,10.05
4220,"Davenport, Florida",32.86,51.15,8.1,2.43,5.45
4221,"Poinciana, Florida",35.58,46.57,10.11,2.98,4.75
4222,"Branford, Florida",40.31,34.33,11.18,2.36,11.81
4223,"Brandon, Florida",34.86,44.49,13.33,2.26,5.06
4224,"Lake Hamilton, Florida",32.23,47.79,10.58,3.16,6.24
4225,"Mangonia Park, Florida",51.21,33.88,9.43,1.81,3.67
4226,"Vero Beach South, Florida",27.26,46.26,13.6,2.58,10.3
4227,"Laurel Hill, Florida",25.0,46.83,10.32,4.76,13.1
4228,"Palm Bay, Florida",31.1,46.55,14.17,1.76,6.42
4229,"Wabasso Beach, Florida",12.03,69.79,4.16,0.0,14.02
4230,"Palm Coast, Florida",25.6,51.69,12.23,1.9,8.57
4231,"St. Augustine, Florida",44.23,34.21,14.6,0.87,6.08
4232,"Upper Grand Lagoon, Florida",32.05,49.07,10.35,2.83,5.7
4233,"Punta Gorda, Florida",12.48,63.25,11.08,0.86,12.33
4234,"Bowling Green, Florida",42.63,43.3,10.59,0.76,2.72
4235,"McIntosh, Florida",23.77,41.05,22.22,0.0,12.96
4236,"Carrollwood, Florida",30.43,47.05,13.23,2.7,6.6
4237,"Cabana Colony, Florida",22.96,47.56,23.34,1.59,4.54
4238,"Brownsdale, Florida",13.24,74.41,7.94,0.0,4.41
4239,"Bradley Junction, Florida",41.73,39.92,6.25,2.02,10.08
4240,"Black Hammock, Florida",16.14,66.14,14.45,0.0,3.28
4241,"Berrydale, Florida",36.53,41.33,13.65,2.21,6.27
4242,"Bear Creek, Florida",31.75,45.81,14.6,0.0,7.84
4243,"Bardmoor, Florida",25.48,52.92,10.34,3.38,7.88
4244,"Balm, Florida",32.26,50.97,9.66,4.42,2.69
4245,"Avalon, Florida",31.67,47.38,14.29,0.0,6.67
4246,"Cedar Grove, Florida",28.06,42.77,14.71,7.89,6.57
4247,"Aucilla, Florida",48.48,16.36,31.52,3.64,0.0
4248,"Alturas, Florida",25.3,54.08,9.96,2.42,8.25
4249,"Allentown, Florida",21.4,58.06,9.35,0.0,11.19
4250,"Alafaya, Florida",35.49,50.34,9.17,1.98,3.03
4251,"Acacia Villas, Florida",46.83,48.81,4.37,0.0,0.0
4252,"St. Lucie Village, Florida",25.55,57.36,12.52,0.0,4.57
4253,"Manatee Road, Florida",26.95,44.21,16.78,1.75,10.31
4254,"Lake Butler, Florida",24.88,67.2,3.61,0.28,4.02
4255,"Grant-Valkaria, Florida",18.92,64.69,9.69,0.59,6.11
4256,"Fountainebleau, Florida",30.65,41.56,17.27,3.5,7.01
4257,"DeBary, Florida",20.9,53.69,16.39,0.95,8.07
4258,"Aripeka, Florida",23.2,36.8,16.0,19.2,4.8
4259,"Chumuckla, Florida",42.99,35.65,9.21,0.0,12.15
4260,"Clarcona, Florida",18.58,43.41,15.59,12.14,10.29
4261,"Cobbtown, Florida",100.0,0.0,0.0,0.0,0.0
4262,"Heritage Pines, Florida",2.86,74.68,2.81,0.3,19.36
4263,"Harold, Florida",17.24,64.91,8.82,2.43,6.59
4264,"Grenelefe, Florida",36.19,38.04,16.88,0.0,8.9
4265,"Greenbriar, Florida",33.71,45.12,16.22,1.08,3.87
4266,"Gardner, Florida",10.74,60.74,10.07,5.37,13.09
4267,"Garden Grove, Florida",19.91,45.92,15.52,3.61,15.05
4268,"Garcon Point, Florida",17.57,75.99,6.44,0.0,0.0
4269,"Fuller Heights, Florida",30.34,51.8,10.13,1.7,6.02
4270,"Fort Green Springs, Florida",6.57,86.13,7.3,0.0,0.0
4271,"Fort Green, Florida",41.49,54.26,4.26,0.0,0.0
4272,"Fort Denaud, Florida",22.47,56.29,17.15,0.38,3.71
4273,"Floridatown, Florida",31.35,56.22,3.24,0.0,9.19
4274,"Fleming Island, Florida",23.33,61.84,9.1,0.57,5.16
4275,"Flagler Estates, Florida",27.1,50.25,15.7,2.42,4.53
4276,"Fidelis, Florida",11.19,68.66,5.97,0.0,14.18
4277,"East Milton, Florida",43.54,30.09,19.92,2.41,4.04
4278,"Dixonville, Florida",0.0,85.71,0.0,0.0,14.29
4279,"DeLand Southwest, Florida",45.49,30.17,12.47,4.99,6.89
4280,"DeLand, Florida",32.2,43.24,13.44,1.59,9.52
4281,"Day, Florida",6.93,69.31,6.93,16.83,0.0
4282,"Dickerson City, Florida",9.76,26.02,7.32,0.0,56.91
4283,"Crawfordville, Florida",25.47,60.2,8.85,0.9,4.58
4284,"Connerton, Florida",50.77,27.11,17.42,4.13,0.57
4285,"Loxahatchee Groves, Florida",32.92,46.57,10.79,2.54,7.17
4286,"Cutler Bay, Florida",33.26,44.96,14.29,2.99,4.5
4287,"West Park, Florida",45.81,34.13,9.62,4.44,6.01
4288,"Buenaventura Lakes, Florida",37.0,42.73,11.58,3.66,5.02
4289,"Gonzalez, Florida",23.58,52.24,15.46,1.5,7.22
4290,"Jupiter Island, Florida",25.31,53.85,6.95,3.85,10.05
4291,"Jacksonville, Florida",34.94,42.87,13.85,2.55,5.79
4292,"Orange City, Florida",19.35,45.79,21.35,1.99,11.53
4293,"Glencoe, Florida",30.44,48.95,9.78,2.46,8.36
4294,"Flagler Beach, Florida",18.25,61.26,9.57,0.44,10.47
4295,"Palmetto, Florida",29.35,47.41,10.46,2.64,10.14
4296,"Warm Mineral Springs, Florida",12.25,64.58,8.32,0.0,14.85
4297,"Lake Sarasota, Florida",30.74,52.86,9.87,1.35,5.18
4298,"Stock Island, Florida",39.27,32.29,16.4,4.17,7.87
4299,"Anna Maria, Florida",14.06,60.39,3.79,0.0,21.76
4300,"Wauchula, Florida",36.33,48.68,4.21,2.76,8.01
4301,"Inverness Highlands North, Florida",25.11,60.78,9.05,1.08,3.98
4302,"Hernando, Florida",21.09,47.5,15.9,2.49,13.02
4303,"Oakland Park, Florida",42.14,35.07,15.29,3.11,4.38
4304,"Miramar, Florida",41.05,42.68,10.71,2.35,3.21
4305,"Lighthouse Point, Florida",22.09,58.25,11.81,1.37,6.48
4306,"Lauderhill, Florida",42.94,33.6,14.07,2.77,6.61
4307,"Campbell, Florida",18.64,51.11,10.91,1.46,17.88
4308,"Mims, Florida",24.28,53.06,12.04,2.09,8.53
4309,"Merritt Island, Florida",26.16,49.94,14.29,1.64,7.97
4310,"Bagdad, Florida",27.96,58.14,10.54,0.28,3.08
4311,"Belleview, Florida",28.59,30.28,21.71,3.83,15.6
4312,"Micco, Florida",16.51,50.26,13.42,2.08,17.72
4313,"Beverly Hills, Florida",24.25,37.43,19.34,2.48,16.5
4314,"La Crosse, Florida",38.81,39.08,9.16,4.04,8.89
4315,"Cudjoe Key, Florida",14.07,67.62,11.9,1.75,4.66
4316,"Sweetwater, Florida",32.93,38.67,16.48,4.48,7.45
4317,"Sunny Isles Beach, Florida",27.0,46.86,14.99,3.46,7.68
4318,"Palmetto Bay village, Florida",28.81,56.33,8.98,1.15,4.74
4319,"Ormond-by-the-Sea, Florida",21.68,48.78,19.94,0.94,8.67
4320,"Miami Gardens, Florida",51.13,28.45,11.91,3.33,5.18
4321,"Marco Island, Florida",10.82,70.07,8.78,0.58,9.75
4322,"LaBelle, Florida",34.63,45.49,8.6,0.76,10.52
4323,"Doral, Florida",29.57,53.3,12.26,1.94,2.92
4324,"Dania Beach, Florida",37.83,37.41,16.54,2.25,5.97
4325,"Crystal Lake, Florida",42.62,27.68,19.77,4.39,5.53
4326,"Southwest Ranches, Florida",29.26,56.09,9.5,0.44,4.71
4327,"Miami Lakes, Florida",31.48,45.27,13.28,4.42,5.55
4328,"Four Corners, Florida",33.01,48.41,10.9,4.32,3.37
4329,"Lee, Florida",21.2,56.18,16.61,0.71,5.3
4330,"Avon Park, Florida",31.69,42.49,15.1,2.27,8.45
4331,"Venice, Florida",13.71,58.26,12.11,1.41,14.51
4332,"Bee Ridge, Florida",20.57,48.83,15.4,2.19,13.0
4333,"North Key Largo, Florida",19.7,60.48,9.06,0.0,10.75
4334,"Marathon, Florida",30.76,43.21,15.53,3.69,6.81
4335,"Key Colony Beach, Florida",1.41,62.04,27.07,0.0,9.49
4336,"West Miami, Florida",30.26,40.21,18.79,3.21,7.54
