State,City,Violent Crime Rate
ALABAMA,Hoover,0.1330687521886308
ALASKA,Wrangell,0.08035355564483729
ALASKA,Wasilla,0.4397617956939991
ALASKA,Valdez,0.1310272536687631
ALASKA,Unalaska,0.15510746731664082
ALASKA,Soldotna,0.27333894028595457
ALASKA,Skagway,0.08628127696289906
ALASKA,Seward,0.32942898975109813
ALASKA,Petersburg,0.31436655139893116
ALASKA,Palmer,0.2803738317757009
ALASKA,North Slope Borough,1.2549739822467094
ALASKA,North Pole,0.7579346281383231
ALASKA,Nome,2.744293408566299
ALASKA,Sitka,0.18796992481203006
ALASKA,Kodiak,0.8239448461409113
ALASKA,Kotzebue,2.3533007334963325
ALASKA,Anchorage,1.2445652362797197
ALASKA,Bethel,1.986552567237164
ALASKA,Bristol Bay Borough,0.2347417840375587
ALASKA,Dillingham,2.0374220374220373
ALASKA,Fairbanks,0.7843012732988283
ALASKA,Craig,0.5331302361005331
ALASKA,Haines,0.36870135190495695
ALASKA,Homer,0.20294266869609334
ALASKA,Juneau,0.908519333542911
ALASKA,Kenai,0.9539557364538286
ALASKA,Ketchikan,0.48100048100048104
ARIZONA,Pinetop-Lakeside,0.4716981132075472
ARIZONA,Safford,0.21177894312222673
ARIZONA,Prescott Valley,0.19914346895074947
ARIZONA,Prescott,0.4887965099015555
ARIZONA,Sahuarita,0.13903259182617694
ARIZONA,Phoenix,0.6989309075146768
ARIZONA,Oro Valley,0.047857298237981294
ARIZONA,Payson,0.3743654822335025
ARIZONA,Parker,0.062131096613855234
ARIZONA,Paradise Valley,0.06787483879725786
ARIZONA,Page,1.6605166051660518
ARIZONA,San Luis,0.09651380439868976
ARIZONA,Peoria,0.23314296188943182
ARIZONA,Scottsdale,0.1593310399901714
ARIZONA,Winslow,1.3414244650271478
ARIZONA,Sierra Vista,0.2617919205596931
ARIZONA,Snowflake-Taylor,0.5209869261771355
ARIZONA,Somerton,0.21465625186333553
ARIZONA,St. Johns,0.3409090909090909
ARIZONA,Surprise,0.09789872447893758
ARIZONA,Tempe,0.45241960518883045
ARIZONA,Thatcher,0.057948618891249755
ARIZONA,Tolleson,0.9190431139343154
ARIZONA,Tucson,0.6883987935241277
ARIZONA,Wellton,0.16404199475065617
ARIZONA,Willcox,0.19960079840319359
ARIZONA,Williams,0.7997539218701938
ARIZONA,Nogales,0.20385839299920444
ARIZONA,Yuma,0.3806862477093015
ARIZONA,Show Low,0.5174984650469258
ARIZONA,Miami,1.5271493212669682
ARIZONA,Wickenburg,0.24099801531046214
ARIZONA,Maricopa,0.1670564650851988
ARIZONA,Mesa,0.37691060676238997
ARIZONA,Apache Junction,0.22336648562225203
ARIZONA,Avondale,0.2881182777184706
ARIZONA,Buckeye,0.1373485315259807
ARIZONA,Bullhead City,0.3182670482581664
ARIZONA,Camp Verde,0.4075846181109339
ARIZONA,Casa Grande,0.4694513929342425
ARIZONA,Chino Valley,0.3042262785726032
ARIZONA,Clarkdale,0.06765899864682003
ARIZONA,Coolidge,0.5328056020703303
ARIZONA,Cottonwood,0.3649339064147271
ARIZONA,Douglas,0.06334726973267452
ARIZONA,Eagar,0.22462732285072493
ARIZONA,El Mirage,0.23214038966422548
ARIZONA,Flagstaff,0.48924853025475584
ARIZONA,Chandler,0.22818135993012187
ARIZONA,Fredonia,0.07716049382716049
ARIZONA,Mammoth,0.17974835230677053
ARIZONA,Lake Havasu City,0.1570028693627849
ARIZONA,Kingman,0.32679738562091504
ARIZONA,Kearny,0.04608294930875576
ARIZONA,Jerome,0.2178649237472767
ARIZONA,Marana,0.07169780399868896
ARIZONA,Huachuca City,0.3482298316889147
ARIZONA,Holbrook,0.7650058846606512
ARIZONA,Hayden,0.8171603677221655
ARIZONA,Goodyear,0.20162944727741633
ARIZONA,Globe,1.8298511538986755
ARIZONA,Glendale,0.33982933715559305
ARIZONA,Gilbert,0.09660159530634535
ARIZONA,Florence,0.1667614174720485
ARKANSAS,McGehee,0.8421624558543873
ARKANSAS,McRae,0.15128593040847202
ARKANSAS,Mayflower,0.4017677782241864
ARKANSAS,Mena,0.054466230936819175
ARKANSAS,Maumelle,0.15365197826922022
ARKANSAS,McCrory,0.7270323859881032
ARKANSAS,Mineral Springs,0.08710801393728224
ARKANSAS,Mulberry,0.851581508515815
ARKANSAS,Monticello,0.4026276753549481
ARKANSAS,Morrilton,0.39209772281707134
ARKANSAS,Mountainburg,1.151315789473684
ARKANSAS,Mountain Home,0.25686305988120084
ARKANSAS,Mountain View,0.3157894736842105
ARKANSAS,Murfreesboro,0.2609262883235486
ARKANSAS,Nashville,0.6132182602770838
ARKANSAS,Marshall,0.2313030069390902
ARKANSAS,Monette,0.06238303181534623
ARKANSAS,Marmaduke,0.4746835443037975
ARKANSAS,Judsonia,0.6057546693589096
ARKANSAS,Marion,0.9883344134802333
ARKANSAS,Hoxie,0.19319938176197837
ARKANSAS,Jacksonville,0.9585116542284158
ARKANSAS,Johnson,0.15868817773075905
ARKANSAS,Jonesboro,0.6861655230574615
ARKANSAS,Newport,1.229124916499666
ARKANSAS,Kensett,0.4326328800988875
ARKANSAS,Lake City,0.15396458814472672
ARKANSAS,Lakeview,0.5594405594405595
ARKANSAS,Marked Tree,0.6904955320877335
ARKANSAS,Lake Village,0.892458723784025
ARKANSAS,Little Flock,0.35829451809387314
ARKANSAS,Little Rock,1.5167706747587988
ARKANSAS,Lonoke,0.5163107251818821
ARKANSAS,Lowell,0.28797696184305255
ARKANSAS,Luxora,0.09842519685039369
ARKANSAS,Madison,0.43795620437956206
ARKANSAS,Magnolia,0.12237762237762238
ARKANSAS,Marianna,0.824014125956445
ARKANSAS,Lincoln,0.36
ARKANSAS,North Little Rock,0.843793165575641
ARKANSAS,Rogers,0.4770992366412214
ARKANSAS,Ozark,0.8116428771340609
ARKANSAS,Stuttgart,1.1759226918151124
ARKANSAS,Sulphur Springs,1.8726591760299627
ARKANSAS,Texarkana,0.6105902372293217
ARKANSAS,Trumann,0.5821382933409058
ARKANSAS,Tuckerman,0.5385996409335727
ARKANSAS,Van Buren,0.49159663865546216
ARKANSAS,Vilonia,0.10499790004199916
ARKANSAS,Waldron,0.4501800720288115
ARKANSAS,Walnut Ridge,0.21916716477385934
ARKANSAS,Ward,1.1734506784011733
ARKANSAS,Warren,0.42598509052183176
ARKANSAS,Weiner,0.5891016200294551
ARKANSAS,West Fork,0.18712574850299402
ARKANSAS,West Memphis,1.9842893380247115
ARKANSAS,White Hall,0.0997207818109294
ARKANSAS,Wynne,1.0112647209421404
ARKANSAS,Hot Springs,0.6467541529130774
ARKANSAS,Star City,0.8260447035957239
ARKANSAS,Osceola,2.5852998647226815
ARKANSAS,Siloam Springs,0.40615027560197275
ARKANSAS,Sheridan,0.28259991925716593
ARKANSAS,Paragould,1.0497520943751069
ARKANSAS,Paris,0.6485849056603774
ARKANSAS,Pea Ridge,0.3852327447833066
ARKANSAS,Perryville,0.20632737276478677
ARKANSAS,Piggott,0.4763239002521714
ARKANSAS,Pine Bluff,1.5516202867124442
ARKANSAS,Pocahontas,0.6469083797201746
ARKANSAS,Pottsville,0.39015606242497
ARKANSAS,Prairie Grove,0.24260803639120548
ARKANSAS,Prescott,0.20100502512562815
ARKANSAS,Quitman,0.2812939521800281
ARKANSAS,Ravenden,0.4514672686230248
ARKANSAS,Redfield,0.2557544757033248
ARKANSAS,Russellville,0.47544658018066965
ARKANSAS,Salem,0.12217470983506415
ARKANSAS,Searcy,0.8335776819000544
ARKANSAS,Shannon Hills,0.42320139407518054
ARKANSAS,Sherwood,0.6203276602513123
ARKANSAS,Hope,0.7241878750258638
ARKANSAS,Swifton,0.1375515818431912
ARKANSAS,Helena-West Helena,1.8356729164621575
ARKANSAS,Bono,0.24549918166939444
ARKANSAS,Booneville,0.4439801514755811
ARKANSAS,Bradford,0.273224043715847
ARKANSAS,Brinkley,1.1056042699199389
ARKANSAS,Brookland,0.186219739292365
ARKANSAS,Bryant,0.15084378240784388
ARKANSAS,Bull Shoals,0.10147133434804667
ARKANSAS,Caddo Valley,0.17006802721088435
ARKANSAS,Camden,1.0519456339601563
ARKANSAS,Carlisle,0.18315018315018314
ARKANSAS,Cave Springs,0.053763440860215055
ARKANSAS,Cedarville,0.7077140835102618
ARKANSAS,Centerton,0.320396566316044
ARKANSAS,Charleston,0.28524857375713125
ARKANSAS,Cherokee Village,0.21579628830384118
ARKANSAS,Cherry Valley,0.17152658662092624
ARKANSAS,Clarksville,0.29552634260674615
ARKANSAS,Blytheville,0.8093258093258093
ARKANSAS,Clinton,0.32141422257934915
ARKANSAS,Bethel Heights,0.1423487544483986
ARKANSAS,Bentonville,0.22270464498259537
ARKANSAS,Highland,0.36363636363636365
ARKANSAS,Alexander,0.4524886877828055
ARKANSAS,Alma,0.594429347826087
ARKANSAS,Amity,0.14814814814814814
ARKANSAS,Ashdown,0.2974828375286041
ARKANSAS,Ash Flat,0.45662100456621
ARKANSAS,Atkins,0.36219953901876856
ARKANSAS,Augusta,0.6188757091284167
